68 Te Tai Hauāuru,Total Party Votes,"McDONALD, Jack Tautokai (Green Party)","WINIATA, Jordan (Internet MANA)","RURAWHE, Adrian (Labour Party)","McKENZIE, Chris (Māori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     27, 22.22, 14.81, 14.81, 40.74,  7.41,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    281, 31.32, 12.46, 25.62, 22.06,  2.14,  6.41,100.00 
Ban1080,     43, 16.28,  6.98, 39.53, 30.23,  4.65,  2.33,100.00 
Conservative,    116, 14.66,  7.76, 25.00, 37.93, 11.21,  3.45,100.00 
Democrats for Social Credit,      3,  0.00,  0.00,  0.00, 66.67, 33.33,  0.00,100.00 
Focus New Zealand,      1,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
Green Party,   2442, 49.96,  5.69, 18.76, 22.03,  0.57,  2.99,100.00 
Internet MANA,   1395, 11.25, 59.07, 13.48, 11.83,  0.93,  3.44,100.00 
Labour Party,   8642,  8.90,  5.61, 68.06, 13.03,  1.10,  3.30,100.00 
Māori Party,   3611,  3.07,  3.38,  7.89, 82.58,  1.08,  1.99,100.00 
National Party,   1456, 17.17,  5.08, 10.99, 56.94,  7.97,  1.85,100.00 
New Zealand First Party,   2412, 15.09,  9.41, 39.01, 29.89,  4.39,  2.20,100.00 
NZ Independent Coalition,     15, 13.33,  6.67, 33.33, 46.67,  0.00,  0.00,100.00 
The Civilian Party,      6, 50.00, 16.67, 33.33,  0.00,  0.00,  0.00,100.00 
United Future,     15, 20.00,  0.00, 20.00, 53.33,  6.67,  0.00,100.00 
Informal Party Votes,    234,  2.99,  6.84, 18.38, 11.11, 57.26,  3.42,100.00 
Total Party Votes and Percentages,  20699, 14.51,  9.37, 39.08, 31.57,  2.62,  2.85,100.00 
