06 Christchurch East,"PETERS, John (ACT New Zealand)","BOYD, Lynda (Alliance)","HOPKINSON, Paul (Anti-Capitalist Alliance)","O'CONNELL, Kevin Patrick (Aotearoa Legalise Cannabis Party)","CHAPMAN, Kyle (Direct Democracy Party)","McCAMMON, Mary (Green Party)","SILCOCK, Karen (Jim Anderton's Progressive)","DALZIEL, Lianne (Labour Party)","ROUND, David John (National Party)","WILSON, Dianne (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 16.67, 16.67, 16.67,  0.00,  0.00, 16.67, 16.67, 16.67,  0.00,  0.00,100.00 
ACT New Zealand, 28.52,  0.00,  0.00,  1.44,  0.36,  1.81,  0.72, 16.97, 46.93,  1.44,  1.08,  0.72,100.00 
Alliance,  1.02, 35.71,  0.00,  0.00,  0.00,  1.02,  5.10, 52.04,  3.06,  1.02,  1.02,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.98,  0.00,  0.99, 59.41,  0.99,  9.90,  0.00, 19.80,  3.96,  0.00,  0.00,  2.97,100.00 
Christian Heritage NZ,  9.26,  0.00,  0.00,  1.85,  1.85,  5.56,  1.85, 31.48, 18.52, 24.07,  5.56,  0.00,100.00 
Democrats for Social Credit,  0.00, 11.11,  0.00,  0.00, 11.11,  5.56, 22.22, 16.67,  5.56, 16.67, 11.11,  0.00,100.00 
Destiny New Zealand,  1.76,  1.76,  0.00,  0.00,  0.00,  0.59,  8.82, 16.47, 27.06, 35.88,  6.47,  1.18,100.00 
Direct Democracy Party,  7.69,  0.00,  0.00,  0.00, 69.23,  0.00,  7.69, 15.38,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.15,  0.67,  0.67,  1.28,  0.21, 28.49,  0.62, 63.86,  2.16,  0.46,  0.62,  0.82,100.00 
Jim Anderton's Progressive,  0.32,  0.65,  0.22,  0.43,  0.00,  1.62, 29.81, 59.72,  4.00,  1.94,  0.97,  0.32,100.00 
Labour Party,  0.32,  0.28,  0.04,  0.66,  0.09,  4.57,  1.74, 89.19,  0.71,  0.70,  0.55,  1.15,100.00 
Libertarianz, 30.77,  0.00,  0.00,  0.00,  0.00,  7.69,  0.00,  7.69, 38.46,  0.00, 15.38,  0.00,100.00 
Mâori Party,  1.03,  2.06,  0.00,  1.03,  0.00, 16.49,  4.12, 49.48,  6.19,  3.09,  4.12, 12.37,100.00 
National Party,  1.70,  0.25,  0.07,  0.50,  0.09,  1.37,  0.87, 11.30, 78.85,  3.53,  0.77,  0.69,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29, 28.57, 57.14,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  3.25,  1.36,  0.41,  1.65,  0.94,  3.90,  9.68, 35.42, 31.05,  6.32,  5.02,  1.00,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00, 40.00, 20.00,  0.00,  0.00, 20.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00, 16.67, 16.67,  0.00,100.00 
United Future New Zealand,  1.19,  0.26,  0.00,  0.09,  0.09,  1.79,  1.70, 27.55, 23.13, 42.77,  0.85,  0.60,100.00 
Informal Party Votes,  1.61,  1.61,  1.61,  0.00,  0.00,  1.61,  2.15, 31.18,  5.38,  0.00, 54.30,  0.54,100.00 
Overall Percentage,  1.13,  0.47,  0.12,  0.84,  0.18,  4.78,  2.61, 59.00, 25.31,  3.39,  1.20,  0.98,100.00 
