17 Hutt South,Total Party Votes,"O'SULLIVAN, Grae (ACT New Zealand)","COPELAND, Gordon (Conservative)","WALKER, Holly (Green Party)","MALLARD, Trevor (Labour Party)","BISHOP, Chris (National Party)","PARORO, Mataroa (New Zealand First Party)","STONYER, Dave (United Future)","PAJAK, Jan (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    256, 36.33,  1.17,  1.95, 17.58, 39.45,  0.39,  0.39,  0.00,  1.95,  0.78,100.00 
Aotearoa Legalise Cannabis Party,    160,  0.63,  1.25, 28.13, 38.75, 13.13,  4.38,  0.63,  3.75,  3.75,  5.63,100.00 
Ban1080,     58,  0.00,  3.45, 10.34, 39.66, 17.24, 15.52,  1.72,  5.17,  3.45,  3.45,100.00 
Conservative,   1391,  0.14, 38.68,  2.59, 14.09, 41.05,  0.93,  0.29,  0.50,  1.08,  0.65,100.00 
Democrats for Social Credit,     11,  0.00, 27.27,  9.09, 36.36, 18.18,  0.00,  0.00,  9.09,  0.00,  0.00,100.00 
Focus New Zealand,      6,  0.00,  0.00, 16.67,  0.00, 33.33, 33.33,  0.00, 16.67,  0.00,  0.00,100.00 
Green Party,   4966,  0.18,  0.30, 32.56, 58.94,  5.46,  0.50,  0.12,  0.26,  0.34,  1.33,100.00 
Internet MANA,    281,  0.71,  1.07, 22.42, 60.85,  3.20,  4.98,  0.36,  3.56,  0.71,  2.14,100.00 
Labour Party,  10903,  0.16,  0.34,  6.09, 88.08,  1.70,  1.10,  0.08,  0.16,  0.52,  1.78,100.00 
Māori Party,    207,  0.48,  1.93, 14.49, 43.48, 22.22,  7.73,  0.48,  1.45,  0.48,  7.25,100.00 
National Party,  17648,  0.27,  1.07,  3.23, 11.70, 81.66,  0.61,  0.24,  0.17,  0.42,  0.61,100.00 
New Zealand First Party,   2913,  0.27,  2.03,  4.98, 52.45, 14.38, 23.48,  0.31,  0.55,  0.48,  1.06,100.00 
NZ Independent Coalition,      7,  0.00,  0.00,  0.00,  0.00, 71.43, 14.29,  0.00,  0.00, 14.29,  0.00,100.00 
The Civilian Party,     19,  0.00,  0.00, 21.05, 31.58,  5.26,  5.26,  5.26, 21.05, 10.53,  0.00,100.00 
United Future,    136,  0.00,  0.74,  8.82, 32.35, 33.09,  0.74, 21.32,  1.47,  0.74,  0.74,100.00 
Informal Party Votes,    199,  0.50,  1.01,  4.02, 36.18, 13.57,  1.51,  0.50,  1.01, 39.20,  2.51,100.00 
Total Party Votes and Percentages,  39161,  0.46,  2.19,  8.19, 42.99, 41.18,  2.57,  0.27,  0.29,  0.70,  1.14,100.00 
