25 Manurewa,"SNELGAR, Glen (ACT New Zealand)","PROTHEROE, Paul (Alliance)","KOMENE, Patrick (Destiny New Zealand)","ALP, Kelvyn (Direct Democracy Party)","SINGH, Raghbir (Jim Anderton's Progressive)","HAWKINS, George Warren (Labour Party)","McLEAN, Rangi (Mâori Party)","AIONO, Fepulea'i Ulua'ipou-O-Malo (National Party)","FEPULEA'I, Amelia Malia (New Zealand Family Rights Protection Party)","PALMER, Lindy (New Zealand First Party)","HINTON, Noel (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 33.33,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 39.66,  0.43,  0.43,  0.43,  0.43, 10.34,  0.43, 39.22,  0.86,  1.72,  3.88,  1.72,  0.43,100.00 
Alliance,  4.76, 42.86,  9.52,  4.76,  9.52,  4.76,  4.76,  0.00,  9.52,  4.76,  0.00,  0.00,  4.76,100.00 
Aotearoa Legalise Cannabis Party,  5.41,  2.70,  1.35,  2.70,  0.00, 37.84, 18.92,  4.05,  1.35,  6.76,  1.35,  6.76, 10.81,100.00 
Christian Heritage NZ,  0.00,  0.00, 54.00,  0.00,  0.00, 20.00,  4.00,  6.00,  4.00,  2.00,  2.00,  4.00,  4.00,100.00 
Democrats for Social Credit,  0.00, 16.67, 16.67,  0.00, 16.67, 33.33,  0.00,  0.00,  0.00, 16.67,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00,  0.00, 78.04,  0.00,  0.00,  6.20,  1.81,  2.84,  0.78,  0.52,  3.10,  1.55,  5.17,100.00 
Direct Democracy Party,  0.00,  0.00,  2.38, 85.71,  0.00,  7.14,  0.00,  0.00,  0.00,  0.00,  2.38,  0.00,  2.38,100.00 
Green Party,  2.49,  1.00,  1.33,  0.83,  2.99, 65.84,  6.63,  4.98,  1.16,  6.47,  1.82,  2.16,  2.32,100.00 
Jim Anderton's Progressive,  0.00,  3.02,  0.50,  0.00, 28.21, 55.92,  1.51,  3.53,  0.25,  1.76,  1.76,  2.02,  1.51,100.00 
Labour Party,  0.45,  0.31,  0.53,  0.11,  2.16, 85.53,  2.07,  1.23,  0.66,  1.86,  1.05,  1.20,  2.84,100.00 
Libertarianz, 12.50, 25.00, 12.50, 12.50,  0.00, 12.50,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.25,  0.00,  2.21,  0.00,  0.25, 14.00, 62.41,  0.74,  0.74,  1.97,  0.25,  0.74, 16.46,100.00 
National Party,  4.64,  0.15,  2.32,  0.18,  0.68, 10.32,  0.69, 67.86,  0.26,  6.19,  4.64,  1.22,  0.86,100.00 
New Zealand Family Rights Protection Party,  0.95,  0.95,  0.00,  0.00,  1.90, 21.90,  1.90,  0.95, 58.10,  2.86,  0.00,  2.86,  7.62,100.00 
New Zealand First Party,  0.70,  0.12,  1.75,  0.23,  0.53, 22.64,  2.74, 10.85,  0.53, 55.60,  1.69,  0.58,  2.04,100.00 
OneNZ Party, 10.00, 10.00,  0.00,  0.00,  0.00, 30.00,  0.00, 20.00,  0.00, 20.00,  0.00,  0.00, 10.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.32,  0.32,  4.17,  0.00,  1.28, 18.43,  1.28, 20.67,  0.80,  1.44, 49.36,  0.80,  1.12,100.00 
Informal Party Votes,  0.53,  0.53,  0.00,  0.53,  2.13, 34.57,  1.06,  3.19,  0.00,  1.60,  0.53, 52.66,  2.66,100.00 
Overall Percentage,  1.87,  0.35,  2.23,  0.27,  1.96, 57.29,  2.64, 19.61,  0.77,  6.01,  3.03,  1.54,  2.44,100.00 
