02 Bay of Plenty,Total Party Votes,"REDMAN, Peter (Conservative Party)","DEVOY-HEENA, Carol (Labour Party)","STEVENS, Sharon (Mana)","RYALL, Tony (National Party)","DOLMAN, Raymond (New Zealand First Party)","CARTER, Brian H (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    418,  5.02,  2.63,  0.00, 82.06,  4.78,  1.67,  2.63,  1.20,100.00 
Alliance,      9, 11.11, 11.11,  0.00, 44.44, 22.22,  0.00, 11.11,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    183,  8.20, 32.24,  5.46, 30.60, 14.21,  4.37,  2.73,  2.19,100.00 
Conservative Party,   1485, 46.20,  2.76,  0.07, 45.32,  2.63,  0.61,  1.35,  1.08,100.00 
Democrats for Social Credit,     13,  7.69, 46.15,  0.00, 38.46,  0.00,  0.00,  7.69,  0.00,100.00 
Green Party,   3142,  3.56, 43.95,  2.74, 33.51,  8.75,  1.43,  4.46,  1.59,100.00 
Labour Party,   4965,  1.55, 72.23,  0.87, 10.78,  9.04,  0.38,  3.24,  1.91,100.00 
Libertarianz,     29, 13.79,  6.90,  6.90, 17.24, 24.14,  0.00, 20.69, 10.34,100.00 
Mana,     91,  2.20, 17.58, 56.04,  6.59,  7.69,  0.00,  2.20,  7.69,100.00 
Māori Party,    213,  4.69, 16.43,  8.92, 49.77,  7.04,  1.88,  3.29,  7.98,100.00 
National Party,  20853,  1.11,  0.52,  0.10, 94.68,  1.06,  0.28,  1.49,  0.76,100.00 
New Zealand First Party,   4569,  2.91, 14.71,  0.37, 20.70, 57.39,  0.26,  2.98,  0.68,100.00 
United Future,    207,  2.42,  4.83,  0.00, 64.73,  2.90, 24.15,  0.97,  0.00,100.00 
Informal Party Votes,    226,  3.10,  9.29,  0.44, 44.25,  7.08,  0.44, 33.63,  1.77,100.00 
Total Party Votes and Percentages,  36403,  3.59, 16.34,  0.69, 65.13, 10.17,  0.59,  2.41,  1.07,100.00 
