52 Te Atatu,Total Party Votes,"BELTOWSKI, Lech (ACT New Zealand)","van RUYSSEVELT, Robert (Alliance)","GOLDIE, Xavier (Green Party)","ROY, Pavitra (Jim Anderton's Progressive)","van KEMPEN, Jo (Kiwi Party)","CARTER, Chris (Labour Party)","HENARE, Tau (National Party)","AH TONG, Fiasili Jackueline (New Zealand Pacific Party)","SOLOMON-MUA, Talei (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1002, 18.26,  0.10,  1.10,  0.10,  0.50, 18.16, 58.78,  0.40,  0.20,  0.90,  1.50,100.00 
Alliance,     27,  0.00, 51.85,  7.41,  7.41,  0.00, 29.63,  3.70,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    111,  3.60,  0.00, 20.72,  0.00,  6.31, 44.14, 17.12,  0.00,  0.00,  0.90,  7.21,100.00 
Democrats for Social Credit,      8,  0.00, 12.50, 25.00, 12.50,  0.00, 25.00, 12.50,  0.00,  0.00, 12.50,  0.00,100.00 
Family Party,    134,  2.99,  0.00,  5.22,  1.49, 13.43, 21.64, 34.33,  8.21,  6.72,  4.48,  1.49,100.00 
Green Party,   1270,  0.31,  0.39, 25.04,  0.47,  0.08, 65.04,  5.12,  0.00,  0.08,  0.31,  3.15,100.00 
Jim Anderton's Progressive,    267,  0.37,  1.12,  2.25, 28.09,  1.12, 55.81,  7.87,  0.37,  0.75,  0.75,  1.50,100.00 
Kiwi Party,    123,  1.63,  0.00,  0.81,  0.00, 52.03, 15.45, 23.58,  0.00,  4.88,  0.81,  0.81,100.00 
Labour Party,  13171,  0.35,  0.17,  2.47,  0.35,  0.13, 90.72,  0.95,  1.18,  0.08,  1.06,  2.55,100.00 
Libertarianz,      8, 12.50,  0.00,  0.00, 12.50, 12.50, 25.00, 25.00,  0.00,  0.00, 12.50,  0.00,100.00 
Maori Party,    264,  0.76,  0.38,  8.71,  0.38,  1.52, 48.86, 20.08,  1.89,  3.79,  1.52, 12.12,100.00 
National Party,  13183,  4.65,  0.17,  1.60,  0.42,  0.82, 14.37, 74.70,  0.37,  0.77,  0.93,  1.19,100.00 
New Zealand First Party,   1328,  1.43,  1.51,  3.69,  3.46,  1.58, 65.81, 14.98,  1.05,  1.05,  4.29,  1.13,100.00 
New Zealand Pacific Party,    362,  0.28,  0.28,  0.00,  0.00,  0.55, 38.12,  3.31, 52.21,  0.83,  1.10,  3.31,100.00 
RAM - Residents Action Movement,      6,  0.00,  0.00,  0.00, 16.67, 16.67, 33.33,  0.00,  0.00, 33.33,  0.00,  0.00,100.00 
The Bill and Ben Party,    180,  3.33,  1.67,  9.44,  1.67,  1.67, 51.67, 22.78,  0.56,  0.56,  2.78,  3.89,100.00 
The Republic of New Zealand Party,      4,  0.00,  0.00,  0.00, 25.00,  0.00, 25.00, 25.00,  0.00,  0.00, 25.00,  0.00,100.00 
United Future,    278,  1.44,  0.00,  1.80,  0.72,  1.80, 23.74, 34.17,  1.08, 31.65,  2.52,  1.08,100.00 
Workers Party,     12,  0.00,  8.33, 16.67,  0.00,  0.00, 33.33, 33.33,  0.00,  8.33,  0.00,  0.00,100.00 
Informal Party Votes,    174,  0.57,  0.00,  0.57,  0.00,  0.00, 24.14,  5.75,  1.15,  0.00, 66.09,  1.72,100.00 
Total Party Votes and Percentages,  31912,  2.79,  0.29,  3.14,  0.76,  0.81, 51.58, 34.97,  1.36,  0.78,  1.50,  1.99,100.00 
