08 Dunedin North,Total Party Votes,"GRAY, Abe (Aotearoa Legalise Cannabis Party)","DALEY, Jonathan (Conservative)","MOWAT, Miriam (Democrats for Social Credit)","TUREI, Metiria (Green Party)","STEWART, Rob (Internet MANA)","CLARK, David (Labour Party)","WOODHOUSE, Michael (National Party)","GRAAMANS, Adrian Daegal (Independent)","LUSBY, Stan (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    111,  2.70,  0.90,  0.00,  7.21,  4.50, 24.32, 53.15,  0.00,  1.80,  4.50,  0.90,100.00 
Aotearoa Legalise Cannabis Party,    172, 62.79,  1.16,  0.00,  7.56,  2.91, 11.63,  5.23,  0.58,  1.16,  1.74,  5.23,100.00 
Ban1080,     60,  8.33,  3.33,  1.67, 15.00,  3.33, 21.67, 36.67,  3.33,  0.00,  6.67,  0.00,100.00 
Conservative,    956,  0.31, 39.23,  0.73,  3.77,  0.42, 15.69, 37.45,  0.63,  0.10,  0.52,  1.15,100.00 
Democrats for Social Credit,     37,  2.70,  0.00, 54.05,  8.11,  0.00, 24.32,  5.41,  0.00,  5.41,  0.00,  0.00,100.00 
Focus New Zealand,      1,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
Green Party,   8035,  1.68,  0.16,  0.16, 43.43,  0.66, 49.23,  2.76,  0.16,  0.14,  0.21,  1.39,100.00 
Internet MANA,    603,  8.62,  0.00,  0.50, 24.21, 19.57, 41.96,  2.82,  0.17,  0.33,  0.17,  1.66,100.00 
Labour Party,  11147,  1.03,  0.25,  0.08, 11.25,  0.26, 84.00,  1.08,  0.15,  0.03,  0.31,  1.57,100.00 
Māori Party,    124,  4.03,  0.81,  1.61, 28.23,  1.61, 39.52, 17.74,  1.61,  0.00,  1.61,  3.23,100.00 
National Party,  11302,  0.88,  0.96,  0.09,  5.45,  0.12,  9.79, 80.77,  0.27,  0.05,  0.31,  1.31,100.00 
New Zealand First Party,   2364,  2.12,  3.55,  1.48, 14.47,  1.02, 55.25, 16.33,  1.23,  1.02,  2.58,  0.97,100.00 
NZ Independent Coalition,      7, 14.29, 14.29, 14.29, 14.29,  0.00,  0.00,  0.00, 14.29, 14.29, 14.29,  0.00,100.00 
The Civilian Party,     27,  0.00,  3.70,  3.70, 14.81,  0.00, 40.74, 18.52,  0.00, 11.11,  7.41,  0.00,100.00 
United Future,     86,  1.16,  4.65,  2.33, 17.44,  0.00, 26.74, 40.70,  2.33,  3.49,  0.00,  1.16,100.00 
Informal Party Votes,     99,  2.02,  0.00,  1.01,  6.06,  0.00, 29.29, 12.12,  1.01,  1.01, 46.46,  1.01,100.00 
Total Party Votes and Percentages,  35131,  1.65,  1.77,  0.30, 17.02,  0.73, 46.44, 29.60,  0.30,  0.18,  0.61,  1.41,100.00 
