18 Hutt South,"MITCHELL, Lindsay (ACT New Zealand)","KNIGHT, David (Destiny New Zealand)","BRUCE, Paul (Green Party)","MALLARD, Trevor (Labour Party)","HOWISON, Philip John (Libertarianz)","ROPATA, Maraea (Mâori Party)","THOMAS, Rosemarie (National Party)","LEVARKO, Howard (New Zealand First Party)","SMITH, Murray (United Future New Zealand)","McSEVENEY, Jack (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 14.29,  0.00,  0.00, 14.29,  0.00,  0.00, 42.86, 28.57,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 30.95,  0.24,  2.14, 15.95,  1.67,  0.48, 40.95,  0.71,  5.48,  0.24,  0.95,  0.24,100.00 
Alliance,  0.00,  0.00, 14.81, 48.15,  3.70,  0.00,  7.41,  0.00, 18.52,  3.70,  3.70,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.30,  1.30, 28.57, 40.26,  1.30,  2.60,  5.19,  3.90,  5.19,  5.19,  2.60,  2.60,100.00 
Christian Heritage NZ,  0.00, 19.05,  0.00, 38.10,  0.00,  0.00, 14.29,  4.76, 19.05,  4.76,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00, 11.11, 22.22, 33.33,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 75.69,  0.55,  9.39,  0.00,  0.55,  9.39,  0.00,  4.42,  0.00,  0.00,  0.00,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.76,  0.16, 30.26, 58.66,  0.22,  1.37,  4.26,  0.05,  2.51,  0.27,  0.60,  0.87,100.00 
Jim Anderton's Progressive,  1.19,  1.19,  6.82, 64.69,  0.30,  0.59,  7.42,  4.75, 10.68,  1.48,  0.59,  0.30,100.00 
Labour Party,  0.63,  0.41,  5.80, 84.71,  0.06,  1.00,  2.13,  0.86,  2.34,  0.26,  0.67,  1.13,100.00 
Libertarianz,  0.00,  0.00,  0.00,  4.76, 85.71,  0.00,  4.76,  0.00,  0.00,  4.76,  0.00,  0.00,100.00 
Mâori Party,  0.00,  1.04,  3.11, 27.46,  0.00, 49.22,  3.11,  1.04,  7.77,  0.52,  0.52,  6.22,100.00 
National Party,  2.72,  0.69,  1.32,  7.72,  0.18,  0.20, 79.83,  0.99,  5.07,  0.24,  0.61,  0.44,100.00 
New Zealand Family Rights Protection Party,  0.00,  9.09,  0.00, 36.36,  0.00,  9.09,  9.09,  0.00,  9.09,  9.09,  9.09,  9.09,100.00 
New Zealand First Party,  1.19,  1.43,  2.30, 26.31,  0.16,  0.87, 25.36, 32.81,  6.74,  1.03,  1.19,  0.63,100.00 
OneNZ Party,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 33.33,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,100.00 
United Future New Zealand,  0.32,  1.50,  0.79, 17.44,  0.00,  0.39, 20.60,  0.24, 57.54,  0.08,  1.03,  0.08,100.00 
Informal Party Votes,  0.00,  0.69,  6.25, 21.53,  0.00,  0.00,  6.25,  3.47,  0.69,  0.69, 57.64,  2.78,100.00 
Overall Percentage,  1.76,  1.02,  5.24, 49.14,  0.20,  0.98, 31.65,  2.13,  5.80,  0.32,  0.95,  0.82,100.00 
