15 Helensville,Total Party Votes,"PIRRIE, Phelan (ACT New Zealand)","DOUGHERTY, Deborah (Conservative)","GRAHAM, Kennedy (Green Party)","HARRÉ, Laila (Internet MANA)","HADDOCK, Corie Jon (Labour Party)","KEY, John (National Party)","BRIGHT, Penny (Independent)","WHYTE, Brendan (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    262, 19.47,  1.53,  2.67,  1.53,  1.91, 65.65,  3.05,  0.76,  1.53,  1.91,100.00 
Aotearoa Legalise Cannabis Party,    161,  1.86,  1.24, 24.84,  9.94, 11.18, 32.30,  8.07,  1.86,  1.86,  6.83,100.00 
Ban1080,     48,  0.00,  2.08, 18.75, 10.42, 10.42, 41.67, 10.42,  0.00,  0.00,  6.25,100.00 
Conservative,   1692,  1.00, 36.47,  2.07,  0.83,  1.60, 54.73,  1.54,  0.30,  0.24,  1.24,100.00 
Democrats for Social Credit,     23,  4.35,  4.35, 26.09, 13.04, 13.04,  8.70, 21.74,  4.35,  4.35,  0.00,100.00 
Focus New Zealand,      3,  0.00, 33.33, 33.33,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   4801,  0.48,  0.27, 56.34, 11.16, 17.16, 10.75,  1.44,  0.21,  0.37,  1.81,100.00 
Internet MANA,    338,  0.30,  0.30,  7.69, 72.19,  7.10,  4.73,  2.96,  0.00,  0.89,  3.85,100.00 
Labour Party,   4430,  0.63,  0.54, 19.84,  6.70, 62.98,  4.94,  1.17,  0.18,  0.59,  2.42,100.00 
Māori Party,    192,  0.52,  1.04, 15.10,  6.77, 13.02, 53.13,  2.08,  1.56,  1.56,  5.21,100.00 
National Party,  20689,  0.61,  0.70,  1.31,  0.16,  0.37, 95.35,  0.18,  0.05,  0.12,  1.16,100.00 
New Zealand First Party,   2608,  1.73,  5.52, 15.80,  5.52, 23.24, 34.32,  6.98,  1.00,  3.11,  2.80,100.00 
NZ Independent Coalition,     13,  0.00,  0.00, 15.38,  0.00,  7.69, 15.38, 23.08, 23.08,  7.69,  7.69,100.00 
The Civilian Party,      8, 12.50,  0.00, 25.00, 12.50, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,     93,  4.30,  7.53,  6.45,  2.15, 13.98, 51.61,  5.38,  2.15,  3.23,  3.23,100.00 
Informal Party Votes,     73,  1.37,  2.74,  4.11,  4.11,  6.85, 28.77,  0.00,  0.00, 50.68,  1.37,100.00 
Total Party Votes and Percentages,  35434,  0.85,  2.72, 12.51,  3.71, 12.49, 64.12,  1.19,  0.21,  0.59,  1.62,100.00 
