53 Tukituki,Total Party Votes,"BURNSIDE, Robert (ACT New Zealand)","MANNING, Romana (Marnz) (Aotearoa Legalise Cannabis Party)","JENKINSON, Stephen (Conservative Party)","PULFORD, Barry (Democrats for Social Credit)","MACDONALD, Jim (Green Party)","HAYDON-CARR, Julia (Labour Party)","FOSS, Craig (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    498, 18.67,  0.60,  2.61,  0.80,  1.20,  5.22, 69.68,  1.00,  0.20,100.00 
Alliance,     17,  0.00,  0.00,  5.88, 23.53, 17.65, 41.18, 11.76,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    198,  0.51, 61.11,  0.00,  0.00,  7.58, 11.62, 12.63,  2.02,  4.55,100.00 
Conservative Party,   1296,  0.39,  0.00, 48.38,  0.31,  1.93,  9.26, 38.58,  0.93,  0.23,100.00 
Democrats for Social Credit,     15,  0.00, 13.33,  0.00, 73.33,  6.67,  0.00,  6.67,  0.00,  0.00,100.00 
Green Party,   3294,  0.12,  1.79,  0.85,  0.09, 38.43, 36.31, 20.01,  1.03,  1.37,100.00 
Labour Party,   8231,  0.30,  0.89,  0.78,  0.15,  5.44, 82.19,  4.85,  3.24,  2.16,100.00 
Libertarianz,     19,  5.26, 15.79,  5.26,  0.00, 10.53, 10.53, 42.11, 10.53,  0.00,100.00 
Mana,    117,  1.71,  9.40,  2.56,  0.00, 17.09, 44.44,  9.40,  4.27, 11.11,100.00 
Māori Party,    263,  0.38,  4.94,  1.90,  0.00, 13.69, 34.60, 36.88,  3.80,  3.80,100.00 
National Party,  17935,  0.47,  0.21,  0.98,  0.03,  1.63,  1.89, 92.95,  1.33,  0.50,100.00 
New Zealand First Party,   1995,  1.55,  1.25,  7.27,  1.25,  9.52, 49.67, 22.46,  6.42,  0.60,100.00 
United Future,    220,  1.82,  0.91,  4.55,  1.82,  5.45, 17.73, 65.00,  2.73,  0.00,100.00 
Informal Party Votes,    225,  0.44,  0.89,  2.22,  0.44,  0.89, 29.78, 29.78, 33.33,  2.22,100.00 
Total Party Votes and Percentages,  34323,  0.73,  1.03,  3.14,  0.22,  6.76, 28.31, 56.46,  2.29,  1.06,100.00 
