05 Christchurch Central,"MARSHALL, Shirley (ACT New Zealand)","CLARK, Byron (Anti-Capitalist Alliance)","VERMUNT, Annalucia (Communist League)","BREACH, Anita (Destiny New Zealand)","CUTLER-WELSH, Natalie (Green Party)","WOODS, Megan (Jim Anderton's Progressive)","BARNETT, Tim (Labour Party)","GREGORY, Daryl (Mâori Party)","WAGNER, Nicky (National Party)","GARDENER, Kevin (New Zealand First Party)","van BUREN, John (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00, 10.00,  0.00, 20.00,  0.00, 50.00, 10.00, 10.00,  0.00,  0.00,100.00 
ACT New Zealand, 27.75,  0.55,  0.00,  0.00,  1.92,  1.37, 14.01,  0.82, 49.18,  0.82,  0.82,  1.10,  1.65,100.00 
Alliance,  2.50, 10.00,  0.00,  2.50,  2.50, 15.00, 37.50,  0.00, 12.50,  2.50,  2.50, 10.00,  2.50,100.00 
Aotearoa Legalise Cannabis Party,  2.40,  4.00,  1.60,  2.40, 26.40,  2.40, 42.40,  1.60,  4.00,  1.60,  1.60,  0.80,  8.80,100.00 
Christian Heritage NZ,  2.70,  2.70,  2.70, 21.62,  2.70,  2.70, 13.51,  2.70, 24.32,  2.70, 16.22,  2.70,  2.70,100.00 
Democrats for Social Credit,  0.00,  6.67,  0.00,  6.67, 20.00, 20.00, 13.33,  6.67,  0.00, 13.33,  6.67,  6.67,  0.00,100.00 
Destiny New Zealand,  0.00,  0.00,  0.00, 75.00,  0.69,  1.39,  5.56,  0.69,  9.03,  0.69,  3.47,  0.69,  2.78,100.00 
Direct Democracy Party,  0.00, 14.29,  0.00,  0.00,  0.00,  0.00, 71.43,  0.00, 14.29,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.24,  0.81,  0.45,  0.12, 22.62,  1.35, 68.55,  0.54,  2.12,  0.51,  0.48,  0.45,  1.77,100.00 
Jim Anderton's Progressive,  0.62,  0.62,  0.16,  1.09,  1.40, 41.52, 41.06,  0.62,  7.62,  1.71,  1.24,  0.93,  1.40,100.00 
Labour Party,  0.30,  0.20,  0.05,  0.35,  7.25,  3.31, 81.49,  0.47,  1.68,  1.18,  0.84,  0.85,  2.02,100.00 
Libertarianz, 22.22,  0.00,  0.00,  0.00,  0.00,  0.00, 11.11,  0.00, 33.33,  0.00,  0.00, 11.11, 22.22,100.00 
Mâori Party,  0.00,  0.00,  0.86,  0.00,  4.31,  4.31, 36.21, 37.93,  5.17,  0.86,  0.86,  0.86,  8.62,100.00 
National Party,  1.45,  0.05,  0.13,  0.78,  1.48,  0.90,  8.62,  0.12, 81.03,  1.47,  1.85,  0.78,  1.33,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.58,  0.36,  0.22,  1.29,  2.23,  3.88, 18.33,  0.65, 23.58, 44.57,  1.94,  1.15,  1.22,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 40.00,  0.00,  0.00,  0.00, 20.00,  0.00, 40.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.67,  0.10,  0.10,  4.48,  2.29,  3.44, 15.46,  1.24, 34.83,  0.86, 33.78,  1.53,  1.24,100.00 
Informal Party Votes,  1.55,  0.52,  1.55,  0.52,  0.00,  1.55, 24.87,  0.52,  4.15,  0.52,  0.52, 61.66,  2.07,100.00 
Overall Percentage,  0.98,  0.26,  0.15,  0.98,  6.45,  3.11, 51.02,  0.54, 28.41,  2.95,  2.20,  1.19,  1.76,100.00 
