11 East Coast Bays,Total Party Votes,"KRONFELD, Tim (ACT New Zealand)","ADAMS, Paul (Family Party)","BRADFORD, Sue (Green Party)","GOLDSMITH, Vivienne (Viv) (Labour Party)","ZAMORA, Elah (Libertarianz)","McCULLY, Murray (National Party)","JONES, Dail (New Zealand First Party)","HUTTON, Toby (No Commercial Airport at Whenuapai Airbase Party)","McINNES, Ian (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2000, 13.90,  9.50,  1.15,  1.80,  0.45, 70.90,  0.20,  0.50,  0.50,  0.45,  0.65,100.00 
Alliance,     14,  7.14,  7.14,  7.14, 42.86,  0.00, 21.43,  0.00,  0.00,  7.14,  7.14,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     98,  3.06,  4.08, 28.57, 12.24,  4.08, 31.63,  6.12,  6.12,  1.02,  2.04,  1.02,100.00 
Democrats for Social Credit,     13,  7.69, 15.38, 15.38, 15.38,  7.69, 15.38,  7.69,  0.00,  7.69,  7.69,  0.00,100.00 
Family Party,    505,  0.20, 83.17,  0.99,  1.58,  0.00,  8.32,  0.59,  0.59,  0.20,  1.19,  3.17,100.00 
Green Party,   1439,  0.97,  5.21, 53.86, 23.07,  0.14, 11.95,  0.49,  1.32,  0.42,  0.90,  1.67,100.00 
Jim Anderton's Progressive,    214,  1.40, 10.75, 11.21, 40.19,  0.93, 16.82,  6.54,  6.54,  2.80,  1.87,  0.93,100.00 
Kiwi Party,     90,  2.22, 44.44,  4.44,  4.44,  0.00, 28.89,  4.44,  5.56,  3.33,  1.11,  1.11,100.00 
Labour Party,   7642,  0.99,  5.63, 12.52, 68.16,  0.09,  6.39,  2.33,  1.28,  0.22,  0.85,  1.53,100.00 
Libertarianz,     25,  4.00,  0.00,  0.00,  4.00, 72.00, 16.00,  4.00,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    141,  1.42, 11.35, 17.73, 26.24,  0.00, 26.24,  3.55,  2.84,  0.71,  2.13,  7.80,100.00 
National Party,  21681,  3.88,  9.95,  1.59,  0.71,  0.03, 80.91,  0.53,  0.44,  0.45,  0.46,  1.04,100.00 
New Zealand First Party,   1001,  1.00, 10.59,  4.10, 24.58,  0.10, 16.78, 38.76,  1.60,  0.70,  0.90,  0.90,100.00 
New Zealand Pacific Party,     14,  0.00, 28.57,  0.00, 50.00,  0.00, 14.29,  0.00,  0.00,  0.00,  7.14,  0.00,100.00 
RAM - Residents Action Movement,      5,  0.00, 20.00, 40.00,  0.00,  0.00, 40.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    149,  6.71, 12.08, 14.77, 11.41,  0.67, 43.62,  2.68,  3.36,  0.67,  0.67,  3.36,100.00 
The Republic of New Zealand Party,      7,  0.00,  0.00, 14.29, 28.57, 28.57, 28.57,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    263,  1.14, 28.90,  1.90,  3.04,  0.76, 36.12,  0.38,  1.90, 23.95,  0.76,  1.14,100.00 
Workers Party,      8,  0.00,  0.00, 12.50, 37.50,  0.00, 25.00,  0.00, 25.00,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,     91,  0.00,  6.59,  2.20,  6.59,  0.00, 14.29,  0.00,  0.00,  0.00, 70.33,  0.00,100.00 
Total Party Votes and Percentages,  35400,  3.52, 10.08,  6.39, 17.45,  0.16, 56.92,  2.06,  0.80,  0.61,  0.79,  1.21,100.00 
