25 Maungakiekie,Total Party Votes,"HADEN, Grace (Conservative Party)","LAND, Tom (Green Party)","BEAUMONT, Carol (Labour Party)","TUMAI, Barry (Mana)","LOTU-IIGA, Peseta Sam (National Party)","HO, Jerry (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    400,  4.00,  3.50,  9.75,  0.25, 76.75,  2.50,  2.75,  0.50,100.00 
Alliance,     13, 23.08,  7.69, 15.38, 23.08, 23.08,  0.00,  7.69,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    128,  2.34, 21.88, 23.44,  3.13, 28.91,  3.91,  8.59,  7.81,100.00 
Conservative Party,    585, 35.73,  1.54,  8.21,  0.00, 50.26,  1.20,  2.39,  0.68,100.00 
Democrats for Social Credit,      7,  0.00, 71.43, 14.29,  0.00, 14.29,  0.00,  0.00,  0.00,100.00 
Green Party,   3220,  0.34, 30.12, 40.19,  0.37, 25.56,  0.34,  0.90,  2.17,100.00 
Labour Party,  12467,  0.30,  2.98, 83.59,  0.38,  5.98,  0.91,  3.05,  2.82,100.00 
Libertarianz,     28, 21.43, 21.43,  0.00,  3.57, 46.43,  7.14,  0.00,  0.00,100.00 
Mana,    140,  0.00,  5.71, 40.00, 27.14, 15.00,  1.43,  2.14,  8.57,100.00 
Māori Party,    213,  1.41,  5.63, 17.84,  7.04, 57.75,  1.41,  1.88,  7.04,100.00 
National Party,  14747,  0.77,  2.14,  2.64,  0.04, 90.34,  0.56,  1.77,  1.74,100.00 
New Zealand First Party,   1753,  1.83,  4.05, 43.13,  0.74, 20.25, 25.33,  2.74,  1.94,100.00 
United Future,    130,  5.38, 10.00,  9.23,  0.00, 70.00,  2.31,  1.54,  1.54,100.00 
Informal Party Votes,    283,  0.71,  0.71, 28.98,  1.77, 18.73,  1.77, 44.52,  2.83,100.00 
Total Party Votes and Percentages,  34114,  1.30,  5.36, 38.60,  0.43, 47.46,  2.01,  2.61,  2.24,100.00 
