18 Ilam,Total Party Votes,"VEALE, Gareth (ACT New Zealand)","LARKINS, Roger (Conservative Party)","GRAHAM, Kennedy (Green Party)","PARSONS, John (Labour Party)","BROWNLEE, Gerry (National Party)","ROBERTS, Vanessa (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    394, 20.81,  1.78,  3.05,  4.82, 67.51,  0.25,  1.02,  0.76,100.00 
Alliance,     17,  0.00,  5.88, 11.76, 41.18, 23.53, 17.65,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    106,  1.89,  6.60, 38.68, 14.15, 32.08,  3.77,  0.00,  2.83,100.00 
Conservative Party,    714,  0.28, 49.02,  4.34,  6.30, 36.55,  0.84,  1.96,  0.70,100.00 
Democrats for Social Credit,     16,  6.25, 25.00, 12.50, 25.00,  6.25,  0.00, 12.50, 12.50,100.00 
Green Party,   4586,  0.24,  0.46, 57.54, 21.61, 16.83,  0.50,  1.11,  1.70,100.00 
Labour Party,   6552,  0.23,  0.73, 15.75, 71.00,  7.75,  0.38,  1.98,  2.17,100.00 
Libertarianz,     29, 34.48,  3.45,  6.90,  0.00, 27.59,  0.00, 27.59,  0.00,100.00 
Mana,     53,  1.89,  1.89, 47.17, 30.19, 13.21,  1.89,  3.77,  0.00,100.00 
Māori Party,    171,  1.17,  4.09, 30.99, 10.53, 45.03,  3.51,  1.75,  2.92,100.00 
National Party,  19934,  0.54,  1.03,  5.21,  1.75, 88.29,  0.59,  1.53,  1.07,100.00 
New Zealand First Party,   1350,  1.19,  7.85, 13.78, 42.59, 25.48,  1.93,  5.78,  1.41,100.00 
United Future,    247,  1.21,  2.02,  8.91, 11.74, 48.18, 27.13,  0.81,  0.00,100.00 
Informal Party Votes,    196,  0.00,  1.53,  7.14, 19.90, 35.20,  0.51, 35.20,  0.51,100.00 
Total Party Votes and Percentages,  34365,  0.73,  2.23, 14.84, 19.67, 58.40,  0.81,  1.94,  1.37,100.00 
