32 New Plymouth,"O'CONNOR, Kerry (ACT New Zealand)","ROBERTS, Kerin (Destiny New Zealand)","SMITH, Kevin (Direct Democracy Party)","BROWN, Sarah (Green Party)","DUYNHOVEN, Harry (Labour Party)","WEBBER, Michael St George (Libertarianz)","RUAKERE, Tony (Mâori Party)","IRVING, Moira (National Party)","COLLIER, Matt (United Future New Zealand)","KANE, Rusty (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  8.33,  0.00,  8.33, 58.33,  0.00,  0.00, 16.67,  0.00,  8.33,  0.00,  0.00,100.00 
ACT New Zealand, 19.80,  1.27,  0.51,  1.52, 22.34,  1.78,  0.25, 49.49,  1.52,  0.51,  0.76,  0.25,100.00 
Alliance,  0.00, 11.11,  0.00, 11.11, 72.22,  0.00,  0.00,  5.56,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  0.00,  1.16, 24.42, 51.16,  4.65,  1.16,  8.14,  2.33,  1.16,  1.16,  4.65,100.00 
Christian Heritage NZ,  5.56,  8.33,  2.78,  2.78, 69.44,  0.00,  0.00,  0.00, 11.11,  0.00,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00,  6.67, 13.33, 53.33,  0.00,  0.00, 13.33,  0.00, 13.33,  0.00,  0.00,100.00 
Destiny New Zealand,  0.41, 79.51,  0.41,  0.41, 14.34,  0.00,  0.41,  2.87,  1.23,  0.00,  0.00,  0.41,100.00 
Direct Democracy Party,  0.00,  1.92, 78.85,  0.00, 13.46,  0.00,  0.00,  1.92,  1.92,  1.92,  0.00,  0.00,100.00 
Green Party,  0.28,  0.17,  0.33, 24.45, 66.91,  0.11,  1.98,  2.97,  0.55,  0.94,  0.22,  1.10,100.00 
Jim Anderton's Progressive,  1.20,  1.20,  0.00,  4.02, 79.52,  0.80,  1.20,  7.63,  1.20,  2.41,  0.80,  0.00,100.00 
Labour Party,  0.14,  0.20,  0.11,  3.40, 91.56,  0.10,  0.81,  1.57,  0.41,  0.37,  0.53,  0.79,100.00 
Libertarianz,  0.00,  0.00,  0.00,  0.00, 21.43, 78.57,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.00,  0.68,  0.00,  2.70, 28.38,  0.00, 52.03,  3.38,  2.03,  1.35,  2.03,  7.43,100.00 
National Party,  1.13,  1.34,  0.18,  1.12, 19.78,  0.24,  0.27, 73.02,  1.17,  0.66,  0.82,  0.28,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00, 81.82,  0.00,  0.00,  0.00,  9.09,  0.00,  9.09,  0.00,100.00 
New Zealand First Party,  1.23,  3.29,  1.28,  3.59, 49.66,  0.64,  1.96, 28.24,  2.65,  3.24,  3.78,  0.44,100.00 
OneNZ Party,  0.00,  8.33,  0.00,  0.00, 33.33,  0.00,  0.00, 41.67,  0.00,  8.33,  8.33,  0.00,100.00 
The Republic of New Zealand Party, 14.29, 14.29,  0.00,  0.00, 57.14,  0.00,  0.00, 14.29,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.00,  5.94,  0.25,  0.76, 42.35,  0.13,  1.14, 19.34, 28.70,  0.63,  0.51,  0.25,100.00 
Informal Party Votes,  0.00,  1.59,  0.00,  1.59, 37.30,  0.00,  1.59, 12.70,  0.79,  2.38, 42.06,  0.00,100.00 
Overall Percentage,  0.90,  1.66,  0.36,  3.48, 52.36,  0.27,  0.93, 36.10,  1.61,  0.75,  1.01,  0.56,100.00 
