35 Northland,"McCLELLAND, Tom (ACT New Zealand)","ISAACHSEN, David (Destiny New Zealand)","WHAANGA, Mel (Direct Democracy Party)","BRADFORD, Sue (Green Party)","JONES, Shane Geoffrey (Labour Party)","PISTORIUS, Julian Leonard (Libertarianz)","PERI, Malcolm M (Mâori Party)","CARTER, John (National Party)","PETERS, Jim (New Zealand First Party)","PHILLIPS, Gray Andrew (NZ Republicans Party)","JOHNSON, Phil (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 45.45,  0.00,  9.09,  0.00, 45.45,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 14.98,  0.42,  0.00,  1.27,  3.38,  0.84,  0.00, 76.16,  1.69,  0.21,  0.42,  0.63,  0.00,100.00 
Alliance,  0.00,  0.00,  0.00, 14.81, 25.93,  0.00,  3.70, 29.63, 25.93,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  0.00,  0.00, 36.17, 18.09,  0.00,  5.32, 23.40,  9.57,  0.00,  1.06,  1.06,  5.32,100.00 
Christian Heritage NZ,  0.00, 29.73,  0.00,  2.70,  8.11,  0.00,  2.70, 21.62,  2.70,  0.00, 21.62,  8.11,  2.70,100.00 
Democrats for Social Credit,  2.08,  0.00,  2.08, 12.50, 18.75,  2.08,  0.00, 22.92, 14.58,  2.08,  6.25, 16.67,  0.00,100.00 
Destiny New Zealand,  0.00, 72.45,  0.00,  0.00,  2.04,  0.00,  1.02, 20.41,  1.53,  0.00,  0.51,  0.00,  2.04,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00, 20.00, 40.00,  0.00,  0.00, 20.00,  0.00,100.00 
Green Party,  0.15,  0.15,  0.05, 55.00, 31.85,  0.25,  1.45,  8.50,  1.35,  0.00,  0.10,  0.25,  0.90,100.00 
Jim Anderton's Progressive,  1.84,  1.84,  0.00, 10.66, 45.59,  0.00,  1.47, 23.16, 12.13,  0.74,  0.74,  1.47,  0.37,100.00 
Labour Party,  0.34,  0.18,  0.04, 14.21, 63.44,  0.03,  1.93, 12.96,  4.06,  0.02,  0.54,  0.72,  1.52,100.00 
Libertarianz,  0.00,  0.00,  0.00,  0.00,  7.41, 55.56,  0.00, 25.93,  3.70,  0.00,  0.00,  3.70,  3.70,100.00 
Mâori Party,  0.00,  0.83,  0.00,  5.79, 17.15,  0.00, 56.40,  5.99,  6.61,  0.21,  0.21,  0.83,  5.99,100.00 
National Party,  0.65,  0.32,  0.02,  0.87,  1.01,  0.08,  0.11, 92.60,  2.94,  0.01,  0.61,  0.27,  0.49,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 16.67, 16.67,  0.00, 16.67, 16.67,  0.00, 16.67,  0.00, 16.67,  0.00,100.00 
New Zealand First Party,  0.22,  0.79,  0.03,  2.31,  7.94,  0.32,  1.01, 35.10, 50.47,  0.09,  0.35,  0.38,  0.98,100.00 
OneNZ Party,  0.00,  0.00,  0.00, 16.67, 16.67,  0.00,  0.00, 16.67, 33.33,  0.00,  0.00, 16.67,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33, 50.00, 16.67,  0.00,  0.00,100.00 
United Future New Zealand,  0.65,  3.72,  0.00,  2.10,  5.99,  0.00,  0.65, 59.39,  2.10,  0.49, 23.46,  0.65,  0.81,100.00 
Informal Party Votes,  0.75,  0.00,  0.00,  4.51,  9.77,  0.00,  0.75, 18.80,  4.51,  0.00,  0.00, 58.65,  2.26,100.00 
Overall Percentage,  0.69,  0.89,  0.03,  8.87, 23.42,  0.16,  1.76, 53.18,  8.17,  0.06,  1.01,  0.76,  0.99,100.00 
