51 Tauranga,Total Party Votes,"McCABE, Kath (ACT New Zealand)","BALDOCK, Larry (Conservative Party)","RANSOM, Katherine (Democrats for Social Credit)","McLEAN, Ian (Green Party)","MAHUTA-COYLE, Deborah (Labour Party)","GARDINER, Jayson (Mana)","BLACK, Awanui (Māori Party)","BRIDGES, Simon (National Party)","HORAN, Brendan (New Zealand First Party)","LAMARE, Yvette (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    426, 20.19,  1.64,  0.23,  1.64,  1.17,  0.00,  0.00, 68.08,  3.52,  0.23,  1.88,  1.41,100.00 
Alliance,      8,  0.00,  0.00,  0.00, 12.50,  0.00,  0.00,  0.00, 50.00, 25.00,  0.00, 12.50,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    184,  3.80,  1.63,  1.09, 24.46, 11.96,  3.26,  0.54, 36.41,  8.15,  2.72,  1.63,  4.35,100.00 
Conservative Party,   1499,  0.20, 51.90,  0.20,  1.07,  1.40,  0.00,  0.20, 39.56,  3.20,  0.07,  1.60,  0.60,100.00 
Democrats for Social Credit,     22,  0.00,  4.55, 36.36,  0.00, 22.73,  0.00,  0.00, 13.64,  9.09,  0.00, 13.64,  0.00,100.00 
Green Party,   3208,  0.25,  1.65,  0.19, 41.80, 17.55,  0.62,  0.72, 28.52,  5.95,  0.28,  1.12,  1.34,100.00 
Labour Party,   5496,  0.15,  2.06,  0.20,  9.61, 61.24,  0.51,  0.51, 10.95,  9.86,  0.27,  2.67,  1.97,100.00 
Libertarianz,     18,  5.56,  5.56, 27.78, 11.11,  5.56,  0.00,  0.00, 27.78, 11.11,  5.56,  0.00,  0.00,100.00 
Mana,     59,  0.00,  3.39,  1.69,  8.47, 16.95, 40.68,  5.08, 10.17,  6.78,  0.00,  3.39,  3.39,100.00 
Māori Party,    182,  1.10,  3.30,  0.00,  4.95, 10.44,  0.00, 23.08, 48.35,  2.75,  0.00,  1.10,  4.95,100.00 
National Party,  19858,  0.34,  1.50,  0.05,  1.44,  0.40,  0.02,  0.05, 92.55,  1.57,  0.05,  1.13,  0.91,100.00 
New Zealand First Party,   5455,  0.11,  4.12,  0.26,  3.68, 10.56,  0.13,  0.22, 14.81, 62.31,  0.26,  2.64,  0.90,100.00 
United Future,    205,  0.98,  5.85,  0.98,  6.83,  4.88,  0.00,  0.00, 62.93, 13.17,  2.93,  0.98,  0.49,100.00 
Informal Party Votes,    283,  0.00,  4.59,  0.00,  1.41, 10.25,  0.35,  0.35, 28.98, 16.96,  0.00, 36.04,  1.06,100.00 
Total Party Votes and Percentages,  36903,  0.51,  4.10,  0.17,  6.66, 12.76,  0.24,  0.33, 59.54, 12.49,  0.17,  1.89,  1.13,100.00 
