70 Waiariki,Total Party Votes,"TE KANI, Louis (Labour Party)","SYKES, Annette Te Imaima (Mana)","FLAVELL, Te Ururoa James (Māori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     28, 17.86, 10.71, 46.43, 25.00,  0.00,100.00 
Alliance,      2,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    201, 24.88, 29.85, 32.34,  8.46,  4.48,100.00 
Conservative Party,     57, 24.56, 22.81, 40.35,  7.02,  5.26,100.00 
Democrats for Social Credit,      1,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   1663, 17.92, 33.31, 42.81,  3.19,  2.77,100.00 
Labour Party,   6591, 46.50, 22.58, 24.50,  3.67,  2.75,100.00 
Libertarianz,      2, 50.00, 50.00,  0.00,  0.00,  0.00,100.00 
Mana,   3125,  2.27, 83.36,  8.35,  2.94,  3.07,100.00 
Māori Party,   3989,  3.18,  8.62, 84.46,  1.63,  2.11,100.00 
National Party,   1068,  9.74, 12.45, 63.30, 11.24,  3.28,100.00 
New Zealand First Party,   2058, 25.75, 22.93, 39.21, 10.35,  1.75,100.00 
United Future,     22,  9.09,  9.09, 63.64,  9.09,  9.09,100.00 
Informal Party Votes,    465, 18.28, 20.00, 20.65, 38.28,  2.80,100.00 
Total Party Votes and Percentages,  19272, 22.60, 29.93, 39.70,  5.15,  2.62,100.00 
