07 Clevedon,"OGILVIE, Iain (ACT New Zealand)","LEE, Mason Chet (Destiny New Zealand)","MARTINOVICH, Leanne (Direct Democracy Party)","BAYLISS, Steve (Green Party)","HILL, Brenda (Jim Anderton's Progressive)","HEREORA, David Murray (Labour Party)","KING, David Sinclair (Mâori Party)","COLLINS, Judith (National Party)","ENE-ULUGIA, Lale (New Zealand Family Rights Protection Party)","CATCHPOLE, Brent (New Zealand First Party)","WALKER, John L (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00, 40.00,  0.00,  0.00, 20.00, 20.00,  0.00,100.00 
ACT New Zealand, 20.04,  1.11,  0.00,  1.22,  0.22,  3.21,  0.33, 70.65,  0.00,  0.78,  0.44,  1.55,  0.44,100.00 
Alliance,  9.09,  0.00,  0.00,  9.09,  0.00, 45.45,  0.00, 27.27,  0.00,  9.09,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.47,  0.00,  0.00, 30.88,  1.47, 14.71,  5.88, 25.00,  0.00, 10.29,  4.41,  0.00,  5.88,100.00 
Christian Heritage NZ,  2.08, 25.00,  0.00,  6.25,  4.17, 12.50,  2.08, 33.33,  2.08,  2.08,  8.33,  0.00,  2.08,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00, 14.29,  0.00, 28.57,  0.00, 14.29,  0.00, 28.57, 14.29,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 81.19,  0.00,  0.46,  0.46,  0.92,  0.46, 11.47,  0.46,  1.38,  1.38,  0.00,  1.83,100.00 
Direct Democracy Party,  0.00,  0.00, 68.75, 18.75,  0.00,  6.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  6.25,100.00 
Green Party,  0.00,  0.11,  0.54, 42.10,  0.87, 33.01,  1.30, 15.04,  0.43,  2.38,  1.84,  0.65,  1.73,100.00 
Jim Anderton's Progressive,  0.52,  0.26,  0.00,  1.05, 28.61, 44.09,  0.26, 15.22,  0.00,  3.41,  2.89,  1.31,  2.36,100.00 
Labour Party,  0.55,  0.42,  0.09,  6.74,  2.14, 68.16,  1.10, 11.69,  0.23,  3.49,  2.22,  1.31,  1.87,100.00 
Libertarianz,  6.25,  0.00,  6.25,  6.25,  0.00, 12.50,  0.00, 25.00,  0.00,  0.00, 25.00, 18.75,  0.00,100.00 
Mâori Party,  0.50,  0.50,  0.00,  3.02,  2.51, 15.08, 50.75, 10.55,  0.50,  3.02,  0.50,  1.51, 11.56,100.00 
National Party,  1.19,  0.50,  0.06,  0.71,  0.17,  0.39,  0.20, 92.49,  0.05,  1.78,  1.34,  0.45,  0.67,100.00 
New Zealand Family Rights Protection Party,  0.00,  5.88,  0.00,  0.00, 17.65, 23.53,  0.00, 11.76, 29.41,  5.88,  0.00,  5.88,  0.00,100.00 
New Zealand First Party,  0.52,  0.83,  0.12,  1.35,  0.79,  7.13,  0.63, 38.92,  0.16, 46.21,  1.66,  1.07,  0.59,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 25.00, 25.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,100.00 
United Future New Zealand,  0.25,  2.23,  0.00,  0.87,  0.74,  3.47,  0.12, 57.05,  0.12,  1.61, 32.80,  0.62,  0.12,100.00 
Informal Party Votes,  0.00,  0.71,  0.00,  2.86,  2.86, 12.86,  0.71,  6.43,  1.43,  3.57,  0.00, 66.43,  2.14,100.00 
Overall Percentage,  1.33,  1.03,  0.11,  3.78,  1.19, 23.77,  0.83, 57.92,  0.15,  5.33,  2.34,  1.07,  1.14,100.00 
