56 Wairarapa,"TULLOCH, Graeme (ACT New Zealand)","BLEAKLEY, Claire (Green Party)","MacKENZIE, Denise (Labour Party)","WALKER, Cissie (Mâori Party)","HAYES, John (National Party)","PERRY, Edwin (New Zealand First Party)","REEVES, Graeme (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 20.00,  0.00, 20.00, 40.00,  0.00, 20.00,  0.00,100.00 
ACT New Zealand, 17.30,  1.08,  5.41,  0.81, 65.14,  9.46,  0.27,  0.54,  0.00,100.00 
Alliance,  3.45, 10.34, 41.38,  3.45,  3.45, 34.48,  3.45,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.32, 26.32, 18.42,  5.26, 19.74, 17.11,  2.63,  1.32,  7.89,100.00 
Christian Heritage NZ,  0.00,  2.50, 10.00,  0.00, 22.50, 47.50, 15.00,  0.00,  2.50,100.00 
Democrats for Social Credit,  0.00, 37.50, 37.50,  0.00,  0.00, 25.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  1.22,  1.22,  9.76,  1.22, 20.73, 41.46, 19.51,  2.44,  2.44,100.00 
Direct Democracy Party,  0.00,  0.00, 50.00,  0.00,  0.00, 25.00,  0.00, 25.00,  0.00,100.00 
Green Party,  0.34, 24.09, 60.15,  1.42,  6.50,  5.55,  0.41,  0.68,  0.88,100.00 
Jim Anderton's Progressive,  2.30,  3.07, 59.00,  1.15,  8.81, 20.69,  3.45,  1.15,  0.38,100.00 
Labour Party,  0.40,  4.98, 77.94,  1.10,  2.49, 10.82,  0.68,  0.71,  0.88,100.00 
Libertarianz, 15.38,  7.69,  0.00,  7.69, 30.77, 38.46,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.00,  3.03, 20.61, 49.70,  4.24, 16.36,  0.00,  0.00,  6.06,100.00 
National Party,  1.14,  0.80,  1.75,  0.23, 83.56, 11.07,  0.63,  0.44,  0.38,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 16.67, 16.67, 16.67, 33.33, 16.67,  0.00,  0.00,100.00 
New Zealand First Party,  0.31,  0.90, 11.21,  0.42, 17.13, 68.71,  0.52,  0.45,  0.35,100.00 
OneNZ Party, 16.67,  0.00, 50.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party, 16.67, 16.67, 16.67,  0.00, 33.33, 16.67,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  1.08,  1.38, 13.06,  0.15, 40.25, 22.27, 20.74,  0.61,  0.46,100.00 
Informal Party Votes,  1.61,  4.03, 19.35,  0.81, 14.52,  8.06,  0.81, 47.58,  3.23,100.00 
Overall Percentage,  0.97,  3.51, 33.65,  0.90, 42.12, 16.34,  1.12,  0.76,  0.63,100.00 
