56 Wairarapa,Total Party Votes,"ATKINSON, Shane (ACT New Zealand)","TUBMAN, Amy (Alliance)","WOODCOCK, Michael (Green Party)","MACKENZIE, Denise (Labour Party)","McGRATH, Richard (Libertarianz)","HAYES, John (National Party)","PERRY, Edwin J (New Zealand First Party)","REEVES, Graeme (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1660, 11.93,  0.06,  0.96,  3.13,  1.33, 79.52,  2.59,  0.18,  0.18,  0.12,100.00 
Alliance,     47,  2.13, 36.17,  2.13, 36.17,  8.51,  4.26,  6.38,  4.26,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    122,  5.74,  2.46, 26.23, 27.87,  5.74, 21.31,  7.38,  0.82,  1.64,  0.82,100.00 
Democrats for Social Credit,      9,  0.00,  0.00, 33.33, 22.22, 11.11, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,     80,  3.75,  1.25,  5.00, 15.00,  6.25, 45.00, 12.50, 10.00,  1.25,  0.00,100.00 
Green Party,   2109,  0.19,  0.14, 35.28, 50.50,  0.90,  7.68,  3.27,  0.28,  0.90,  0.85,100.00 
Jim Anderton's Progressive,    251,  3.59,  4.78,  6.77, 49.00,  1.20, 20.32, 11.16,  0.00,  3.19,  0.00,100.00 
Kiwi Party,    173,  5.20,  0.58,  2.89,  4.62,  3.47, 61.85, 12.72,  7.51,  1.16,  0.00,100.00 
Labour Party,  11464,  0.40,  0.25,  5.85, 80.37,  1.13,  3.71,  6.50,  0.19,  0.62,  0.97,100.00 
Libertarianz,     61,  0.00,  1.64,  0.00, 18.03, 59.02, 14.75,  6.56,  0.00,  0.00,  0.00,100.00 
Maori Party,    266,  3.38,  1.13, 12.03, 39.85,  1.88, 18.80, 16.92,  1.13,  1.13,  3.76,100.00 
National Party,  17860,  2.30,  0.11,  1.50,  2.18,  0.98, 88.63,  2.89,  0.48,  0.50,  0.43,100.00 
New Zealand First Party,   2040,  0.39,  0.25,  1.57, 29.85,  0.74, 12.01, 53.97,  0.25,  0.69,  0.29,100.00 
New Zealand Pacific Party,     12,  0.00,  0.00,  0.00, 66.67,  8.33,  0.00, 25.00,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      5,  0.00,  0.00,  0.00, 20.00, 40.00, 40.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    281,  5.34,  1.07, 14.59, 20.28,  5.34, 40.93,  8.54,  1.78,  1.78,  0.36,100.00 
The Republic of New Zealand Party,      2,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    248,  0.81,  0.40,  2.42, 11.29,  1.61, 48.39,  8.06, 26.21,  0.40,  0.40,100.00 
Workers Party,     14,  0.00,  7.14, 14.29, 28.57,  7.14, 28.57,  7.14,  0.00,  7.14,  0.00,100.00 
Informal Party Votes,    131,  0.00,  0.00,  3.05, 19.08,  0.76, 13.74,  1.53,  0.00, 60.31,  1.53,100.00 
Total Party Votes and Percentages,  36835,  1.96,  0.27,  5.10, 31.94,  1.23, 50.29,  7.18,  0.59,  0.81,  0.62,100.00 
