55 Waimakariri,Total Party Votes,"KEOWN, Aaron (ACT New Zealand)","LIEFTING, Alan (Green Party)","BAKER, Leighton (Kiwi Party)","COSGROVE, Clayton (Labour Party)","WILKINSON, Kate (National Party)","MARK-SHADBOLT, Melanie (New Zealand First Party)","SHEFFIELD-CRANSTOUN, Kelleigh (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    953, 26.76,  0.10,  1.15, 15.95, 53.10,  1.15,  0.42,  0.10,  1.26,100.00 
Alliance,     40,  5.00,  7.50,  0.00, 67.50, 12.50,  7.50,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    123,  6.50, 27.64,  4.88, 32.52, 17.89,  4.07,  0.81,  1.63,  4.07,100.00 
Democrats for Social Credit,     33,  3.03,  6.06,  6.06, 24.24, 18.18, 33.33,  0.00,  9.09,  0.00,100.00 
Family Party,     61, 13.11,  0.00, 13.11, 32.79, 26.23, 13.11,  0.00,  0.00,  1.64,100.00 
Green Party,   2036,  3.00, 26.57,  0.59, 58.79,  7.91,  1.62,  0.10,  0.69,  0.74,100.00 
Jim Anderton's Progressive,    397,  5.54,  5.79,  3.02, 65.74, 12.85,  5.29,  1.26,  0.50,  0.00,100.00 
Kiwi Party,    397,  1.26,  0.50, 57.43, 20.65, 17.38,  1.76,  0.50,  0.00,  0.50,100.00 
Labour Party,  12702,  2.06,  3.45,  0.43, 88.00,  2.19,  2.37,  0.05,  0.47,  0.98,100.00 
Libertarianz,      7, 14.29,  0.00,  0.00, 57.14, 28.57,  0.00,  0.00,  0.00,  0.00,100.00 
Maori Party,    140,  4.29, 12.14,  1.43, 44.29, 19.29,  7.14,  2.86,  0.71,  7.86,100.00 
National Party,  18539,  5.40,  0.83,  0.86, 12.73, 77.99,  0.97,  0.24,  0.29,  0.70,100.00 
New Zealand First Party,   1482,  2.09,  1.01,  1.08, 48.45, 10.46, 36.17,  0.13,  0.47,  0.13,100.00 
New Zealand Pacific Party,      5,  0.00,  0.00, 20.00, 40.00, 20.00,  0.00,  0.00, 20.00,  0.00,100.00 
RAM - Residents Action Movement,      3,  0.00,  0.00,  0.00, 66.67,  0.00, 33.33,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    228, 14.04,  7.89,  3.95, 39.47, 25.88,  6.58,  0.00,  1.32,  0.88,100.00 
The Republic of New Zealand Party,      4,  0.00, 25.00,  0.00,  0.00, 50.00,  0.00,  0.00, 25.00,  0.00,100.00 
United Future,    342,  5.26,  1.17,  3.80, 33.33, 40.06,  2.92, 12.87,  0.00,  0.58,100.00 
Workers Party,      9, 11.11,  0.00,  0.00, 66.67, 11.11,  0.00,  0.00,  0.00, 11.11,100.00 
Informal Party Votes,    114,  2.63,  0.88,  0.88, 32.46, 11.40,  4.39,  0.00, 47.37,  0.00,100.00 
Total Party Votes and Percentages,  37615,  4.56,  3.33,  1.42, 43.49, 42.46,  3.08,  0.30,  0.54,  0.81,100.00 
