22 Mangere,Total Party Votes,"TABACHNIK, Michael (ACT New Zealand)","FILIPAINA, Galumalemana Jerry (Family Party)","STRICKSON-PUA, Muamua Sofi (Green Party)","PO'E, Tala (Jim Anderton's Progressive)","SIO, Su'a William (Labour Party)","HARRIS, Mita (National Party)","FIELD, Taito Lemalu Phillip (New Zealand Pacific Party)","FOWLER, Roger (RAM - Residents Action Movement)","SOLOMON, Pulotu Selio (United Future)","MATATUMUA, Lemalu Talia (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    280, 21.43,  5.36,  0.71,  0.36, 11.43, 46.43,  8.21,  1.79,  1.79,  0.36,  1.07,  1.07,100.00 
Alliance,      6, 16.67,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00, 16.67, 16.67,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     96,  2.08,  6.25, 13.54,  4.17, 39.58, 11.46, 12.50,  2.08,  1.04,  0.00,  1.04,  6.25,100.00 
Democrats for Social Credit,      2,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,    297,  0.00, 69.36,  1.35,  0.00,  7.74,  2.69, 10.77,  1.01,  2.02,  0.00,  0.00,  5.05,100.00 
Green Party,    511,  0.20,  3.52, 31.12,  0.59, 52.64,  5.48,  2.15,  1.57,  0.78,  0.00,  0.59,  1.37,100.00 
Jim Anderton's Progressive,    165,  0.00,  4.85,  1.21, 29.09, 42.42,  4.85,  6.67,  4.24,  3.03,  0.00,  1.82,  1.82,100.00 
Kiwi Party,     65,  1.54, 15.38,  1.54,  0.00,  9.23, 16.92, 38.46,  1.54,  7.69,  4.62,  1.54,  1.54,100.00 
Labour Party,  15446,  0.28,  2.56,  1.67,  0.39, 72.91,  0.63, 15.11,  0.36,  1.00,  0.25,  1.05,  3.79,100.00 
Libertarianz,      6,  0.00,  0.00,  0.00,  0.00, 16.67, 50.00, 16.67,  0.00,  0.00,  0.00,  0.00, 16.67,100.00 
Maori Party,    241,  0.83, 12.03,  9.54,  0.41, 34.85,  6.64,  7.05,  4.15,  4.15,  0.83,  3.73, 15.77,100.00 
National Party,   4120,  2.82,  5.22,  1.04,  0.27,  4.85, 71.09,  8.76,  0.66,  2.62,  0.19,  0.92,  1.55,100.00 
New Zealand First Party,    830,  0.96,  7.23,  2.77,  2.17, 59.52,  8.80, 11.57,  1.33,  0.96,  0.12,  2.41,  2.17,100.00 
New Zealand Pacific Party,   2683,  0.04,  0.41,  0.04,  0.04,  2.57,  0.19, 94.15,  0.04,  0.19,  0.15,  0.48,  1.71,100.00 
RAM - Residents Action Movement,     16,  0.00,  0.00,  0.00,  0.00, 12.50,  6.25, 12.50, 62.50,  0.00,  0.00,  0.00,  6.25,100.00 
The Bill and Ben Party,     75,  8.00,  5.33,  5.33,  1.33, 21.33, 26.67,  9.33,  9.33,  2.67,  4.00,  2.67,  4.00,100.00 
The Republic of New Zealand Party,      1,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    218,  0.46,  2.75,  0.46,  0.46, 14.68, 11.01,  8.26,  0.46, 58.72,  0.00,  0.46,  2.29,100.00 
Workers Party,     16, 18.75,  6.25, 25.00,  0.00, 25.00,  0.00,  0.00,  6.25,  0.00,  6.25,  6.25,  6.25,100.00 
Informal Party Votes,    279,  0.36,  5.02,  0.36,  0.36, 17.92,  1.43, 16.85,  0.72,  0.72,  0.00, 54.84,  1.43,100.00 
Total Party Votes and Percentages,  25353,  0.97,  3.94,  2.13,  0.59, 49.90, 13.28, 21.79,  0.61,  1.75,  0.25,  1.62,  3.16,100.00 
