54 Waikato,Total Party Votes,"BOOM, Robin (ACT New Zealand)","DOBBS, Brian (Conservative Party)","PEMBERTON, John (Democrats for Social Credit)","HARPER, Cameron (Green Party)","SUTTON, Kate (Labour Party)","TISCH, Lindsay (National Party)","STEWART, Barbara (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    607, 19.28,  2.64,  0.66,  0.49,  2.97, 69.69,  1.98,  0.99,  1.32,100.00 
Alliance,     12,  0.00,  0.00,  0.00,  8.33, 33.33, 41.67,  0.00, 16.67,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    170,  2.94,  2.94,  1.76, 30.00, 20.00, 25.88,  5.29,  4.71,  6.47,100.00 
Conservative Party,   1284,  0.70, 49.61,  0.39,  1.56,  3.97, 40.97,  1.32,  1.09,  0.39,100.00 
Democrats for Social Credit,     41,  0.00,  2.44, 60.98,  7.32,  4.88,  4.88,  7.32,  9.76,  2.44,100.00 
Green Party,   2208,  0.14,  1.36,  0.50, 45.38, 29.98, 18.16,  1.40,  1.27,  1.81,100.00 
Labour Party,   5173,  0.25,  1.06,  0.25,  7.23, 77.05,  4.54,  3.05,  3.69,  2.86,100.00 
Libertarianz,     28, 17.86, 10.71,  3.57, 10.71, 14.29, 32.14,  3.57,  7.14,  0.00,100.00 
Mana,     91,  1.10,  0.00,  2.20, 27.47, 40.66,  4.40,  7.69,  4.40, 12.09,100.00 
Māori Party,    186,  0.54,  1.61,  0.54, 13.44, 20.43, 45.70,  7.53,  4.30,  5.91,100.00 
National Party,  18875,  0.74,  1.42,  0.11,  1.77,  0.77, 91.87,  0.65,  1.75,  0.93,100.00 
New Zealand First Party,   2549,  0.43,  3.81,  0.67,  4.04, 21.77, 17.85, 45.90,  3.96,  1.57,100.00 
United Future,    243,  1.23,  8.23,  1.65,  5.76, 13.17, 63.79,  2.88,  2.47,  0.82,100.00 
Informal Party Votes,    298,  0.00,  2.35,  0.00,  4.03, 16.78, 44.63,  6.71, 23.83,  1.68,100.00 
Total Party Votes and Percentages,  31765,  0.97,  3.60,  0.34,  6.20, 17.69, 62.39,  4.95,  2.44,  1.44,100.00 
