16 Hamilton West,"COX, Stephen Peter (ACT New Zealand)","BAINS, Sukhdev S (Jim Anderton's Progressive)","GALLAGHER, Martin Owen (Labour Party)","WIKIRIWHI, Timothy Denis (Libertarianz)","MOXON, Tureiti (Mâori Party)","MACINDOE, Tim (National Party)","GUDGEON, Bill (New Zealand First Party)","GIELEN, Jack (The Republic of New Zealand Party)","JACKSON, Robyn (United Future New Zealand)","SURESH, Vatsyayann (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 16.67,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,  0.00, 16.67,100.00 
ACT New Zealand, 16.91,  0.18, 10.91,  0.55,  0.36, 67.09,  0.91,  0.00,  0.36,  0.91,  0.55,  1.27,100.00 
Alliance,  0.00,  0.00, 60.00,  0.00,  0.00,  0.00, 10.00, 10.00,  0.00, 10.00,  0.00, 10.00,100.00 
Aotearoa Legalise Cannabis Party,  3.37,  1.12, 42.70,  3.37,  2.25, 17.98,  8.99,  2.25,  3.37,  2.25,  2.25, 10.11,100.00 
Christian Heritage NZ,  1.79,  1.79, 19.64,  1.79,  1.79, 25.00, 19.64,  0.00, 21.43,  1.79,  3.57,  1.79,100.00 
Democrats for Social Credit,  0.00,  8.33, 25.00,  0.00,  0.00,  4.17, 20.83,  0.00, 25.00,  8.33,  8.33,  0.00,100.00 
Destiny New Zealand,  1.26,  1.89, 13.21,  0.00,  6.29, 39.62,  9.43,  0.00, 16.35,  0.63,  8.18,  3.14,100.00 
Direct Democracy Party,  0.00,  0.00, 18.18,  0.00,  0.00, 54.55, 18.18,  0.00,  0.00,  9.09,  0.00,  0.00,100.00 
Green Party,  0.53,  0.76, 76.39,  0.84,  2.82, 10.13,  2.44,  0.30,  1.14,  1.52,  1.60,  1.52,100.00 
Jim Anderton's Progressive,  0.84, 19.83, 57.82,  0.00,  0.28, 10.61,  5.03,  0.28,  1.96,  1.12,  1.40,  0.84,100.00 
Labour Party,  0.42,  0.62, 89.28,  0.08,  1.35,  2.64,  2.19,  0.09,  0.44,  0.55,  0.70,  1.65,100.00 
Libertarianz,  0.00,  0.00, 13.33, 73.33,  0.00,  6.67,  0.00,  0.00,  0.00,  0.00,  0.00,  6.67,100.00 
Mâori Party,  0.00,  0.00, 28.82,  0.00, 44.10,  4.80, 10.04,  0.87,  0.87,  0.87,  1.31,  8.30,100.00 
National Party,  1.08,  0.20,  4.00,  0.05,  0.08, 89.88,  2.44,  0.04,  0.90,  0.20,  0.42,  0.70,100.00 
New Zealand Family Rights Protection Party,  7.14,  0.00, 35.71,  0.00,  0.00,  0.00, 28.57,  0.00, 14.29,  0.00,  0.00, 14.29,100.00 
New Zealand First Party,  0.82,  0.35, 22.64,  0.08,  0.67, 29.82, 41.15,  0.20,  0.94,  0.55,  1.02,  1.77,100.00 
OneNZ Party,  0.00,  0.00, 28.57,  0.00,  0.00, 57.14,  0.00,  0.00,  0.00, 14.29,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  7.69, 15.38,  0.00,  0.00,  7.69, 15.38, 53.85,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.21,  0.10, 21.56,  0.00,  0.72, 49.08,  2.46,  0.00, 24.23,  0.62,  0.62,  0.41,100.00 
Informal Party Votes,  1.45,  0.72, 31.88,  0.72,  0.00, 13.77,  3.62,  2.17,  0.72,  0.00, 44.20,  0.72,100.00 
Overall Percentage,  1.00,  0.63, 44.92,  0.15,  1.11, 42.51,  5.39,  0.13,  1.52,  0.48,  0.88,  1.30,100.00 
