06 Clutha-Southland,Total Party Votes,"NICOLSON, Don (ACT New Zealand)","CALVERLEY, Ross (Conservative Party)","MILLS, Robert (Democrats for Social Credit)","GOLDSMITH, Rachael (Green Party)","LOO, Tat (Labour Party)","ENGLISH, Bill (National Party)","CORBETT, Tony (New Zealand Sovereignty Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    583, 32.08,  0.86,  0.00,  0.86,  1.54, 63.64,  0.00,  0.69,  0.34,100.00 
Alliance,     17, 11.76, 11.76,  5.88, 11.76, 23.53, 29.41,  0.00,  5.88,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    210,  4.29,  3.33,  0.95, 28.10, 19.05, 34.76,  0.95,  3.81,  4.76,100.00 
Conservative Party,    992,  6.85, 43.95,  0.60,  1.41,  3.43, 40.42,  1.31,  1.92,  0.10,100.00 
Democrats for Social Credit,     75,  2.67,  2.67, 46.67,  2.67, 13.33, 30.67,  0.00,  1.33,  0.00,100.00 
Green Party,   2751,  0.80,  0.65,  0.36, 52.09, 19.34, 24.35,  0.25,  1.45,  0.69,100.00 
Labour Party,   5160,  0.99,  1.05,  0.37, 11.34, 71.96,  9.21,  0.37,  3.84,  0.89,100.00 
Libertarianz,     24, 29.17,  8.33,  0.00, 20.83,  8.33, 25.00,  4.17,  4.17,  0.00,100.00 
Mana,     48,  0.00,  0.00,  2.08, 37.50, 35.42, 12.50,  4.17,  4.17,  4.17,100.00 
Māori Party,    136,  1.47,  5.15,  0.00, 16.91, 15.44, 52.94,  2.94,  4.41,  0.74,100.00 
National Party,  20020,  1.65,  0.52,  0.03,  1.56,  0.60, 93.25,  0.21,  1.76,  0.41,100.00 
New Zealand First Party,   1556,  6.23,  8.48,  2.76,  9.77, 39.52, 23.84,  2.38,  6.43,  0.58,100.00 
United Future,    259,  4.63,  5.02,  1.16,  5.41, 13.51, 66.80,  0.77,  2.70,  0.00,100.00 
Informal Party Votes,    209,  2.87,  2.39,  0.48,  3.83, 26.32, 29.19,  0.48, 33.49,  0.96,100.00 
Total Party Votes and Percentages,  32040,  2.48,  2.46,  0.40,  8.22, 16.25, 66.71,  0.41,  2.53,  0.54,100.00 
