67 Te Tai Tokerau,"DANIELS, Judy (Aotearoa Legalise Cannabis Party)","MORTON, Ernest (Destiny New Zealand)","SAMUELS, Dover (Labour Party)","HARAWIRA, Hone Pani Tamati Waka Nene (Mâori Party)","MANGU, Mere (Independent)","MAXWELL, Hana (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  3.03, 24.24, 57.58,  9.09,  0.00,  6.06,  0.00,100.00 
ACT New Zealand,  8.16,  8.16, 36.73, 22.45, 14.29,  6.12,  4.08,  0.00,100.00 
Alliance,  0.00,  0.00, 66.67, 16.67, 16.67,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party, 51.59,  0.00, 15.08, 26.98,  4.76,  0.00,  0.00,  1.59,100.00 
Christian Heritage NZ,  5.56, 22.22, 11.11, 38.89,  5.56,  0.00,  5.56, 11.11,100.00 
Democrats for Social Credit,  0.00, 33.33, 33.33, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 79.15,  5.03, 11.81,  2.01,  0.50,  0.50,  1.01,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party, 10.32,  0.38, 32.08, 40.90,  9.76,  1.69,  1.13,  3.75,100.00 
Jim Anderton's Progressive,  0.00,  2.82, 47.89, 26.76, 12.68,  7.04,  1.41,  1.41,100.00 
Labour Party,  2.67,  0.89, 51.80, 34.92,  5.51,  0.52,  1.36,  2.34,100.00 
Libertarianz, 33.33,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.98,  0.62,  4.28, 84.73,  5.02,  0.26,  0.83,  3.28,100.00 
National Party,  6.74, 10.06, 20.42, 31.19,  9.86,  8.35, 11.87,  1.51,100.00 
New Zealand Family Rights Protection Party,  5.88,  5.88, 23.53, 35.29,  5.88,  0.00, 17.65,  5.88,100.00 
New Zealand First Party,  3.21,  5.45, 30.47, 37.72, 12.76,  1.86,  6.61,  1.92,100.00 
OneNZ Party,  0.00, 20.00, 60.00, 20.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 16.67, 33.33, 50.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  4.94, 28.40, 19.75, 24.69,  9.88,  7.41,  3.70,  1.23,100.00 
Informal Party Votes,  2.14,  0.00, 17.09, 20.51,  2.56,  1.28, 55.13,  1.28,100.00 
Overall Percentage,  2.86,  3.31, 31.64, 49.64,  6.23,  1.03,  2.77,  2.53,100.00 
