66 Ikaroa-Rāwhiti,Total Party Votes,"KANI, Henare (Green Party)","NIKORA, Te Hāmua (Internet MANA)","WHAITIRI, Meka (Labour Party)","FOX, Marama (Māori Party)","ROSE, Vicky (The Expats)","EDEN, Cathryn (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     24,  8.33, 16.67, 50.00, 16.67,  0.00,  4.17,  4.17,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    313, 27.48, 23.64, 26.52, 13.42,  0.32,  0.96,  3.19,  4.47,100.00 
Ban1080,     25, 36.00, 16.00, 28.00, 12.00,  0.00,  8.00,  0.00,  0.00,100.00 
Conservative,    130, 10.77, 11.54, 29.23, 26.15,  0.77, 12.31,  6.15,  3.08,100.00 
Democrats for Social Credit,      2,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Focus New Zealand,      4, 25.00,  0.00,  0.00, 25.00,  0.00, 50.00,  0.00,  0.00,100.00 
Green Party,   2275, 37.54, 17.93, 27.43, 12.40,  0.48,  0.57,  0.75,  2.90,100.00 
Internet MANA,   2152,  2.51, 81.83,  8.27,  3.44,  0.14,  0.42,  0.74,  2.65,100.00 
Labour Party,  10489,  5.52, 16.67, 66.92,  6.79,  0.11,  0.17,  1.11,  2.72,100.00 
Māori Party,   2699,  3.59, 14.49, 14.15, 63.69,  0.33,  0.41,  1.22,  2.11,100.00 
National Party,   1189, 12.20, 10.51, 18.50, 40.37,  1.09,  7.15,  7.82,  2.35,100.00 
New Zealand First Party,   2490, 10.20, 20.52, 43.45, 18.63,  0.60,  1.89,  3.49,  1.20,100.00 
NZ Independent Coalition,     11,  9.09, 18.18, 27.27, 18.18,  0.00, 27.27,  0.00,  0.00,100.00 
The Civilian Party,      2,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,  0.00, 50.00,100.00 
United Future,      6,  0.00,  0.00, 33.33, 50.00, 16.67,  0.00,  0.00,  0.00,100.00 
Informal Party Votes,    325,  5.54, 11.38, 31.08,  8.62,  0.92,  1.54, 38.46,  2.46,100.00 
Total Party Votes and Percentages,  22136,  9.55, 22.95, 44.06, 17.38,  0.32,  0.97,  2.29,  2.48,100.00 
