10 East Coast,Total Party Votes,"DRAYSON, Rick (Conservative)","SMITH, Harry Alchin (Democrats for Social Credit)","MACLEAN, Gavin (Green Party)","SALMON, Patrick (Internet MANA)","MACKEY, Moana (Labour Party)","TOLLEY, Anne (National Party)","TAKOKO, Mere (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     82,  3.66,  0.00,  7.32,  0.00, 20.73, 64.63,  2.44,  1.22,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    150,  3.33,  0.00, 36.00,  7.33, 20.00, 16.00,  9.33,  2.00,  6.00,100.00 
Ban1080,    122,  8.20,  0.82, 13.93,  4.10, 19.67, 31.97, 13.93,  2.46,  4.92,100.00 
Conservative,   1438, 32.89,  0.35,  2.23,  0.21,  6.95, 53.27,  2.57,  0.90,  0.63,100.00 
Democrats for Social Credit,     30,  6.67, 50.00,  3.33,  3.33, 13.33, 13.33,  6.67,  0.00,  3.33,100.00 
Focus New Zealand,      4, 25.00,  0.00, 25.00,  0.00,  0.00, 25.00, 25.00,  0.00,  0.00,100.00 
Green Party,   3248,  0.34,  0.06, 42.73,  0.52, 43.44,  8.31,  1.54,  0.71,  2.34,100.00 
Internet MANA,    413,  0.73,  0.73, 13.32, 34.14, 32.20,  4.84,  5.57,  1.21,  7.26,100.00 
Labour Party,   8022,  0.35,  0.11,  6.38,  0.59, 82.80,  2.64,  3.13,  0.56,  3.44,100.00 
Māori Party,    334,  0.60,  0.60, 15.87,  1.80, 29.34, 31.14, 11.08,  4.19,  5.39,100.00 
National Party,  17152,  1.03,  0.13,  1.94,  0.04,  2.57, 91.83,  1.21,  0.48,  0.78,100.00 
New Zealand First Party,   4176,  1.36,  0.57,  5.05,  0.41, 27.99, 18.30, 43.77,  1.39,  1.15,100.00 
NZ Independent Coalition,     17, 11.76,  0.00,  5.88,  5.88, 41.18, 11.76, 23.53,  0.00,  0.00,100.00 
The Civilian Party,     13,  7.69,  0.00, 53.85,  7.69,  0.00,  7.69, 15.38,  7.69,  0.00,100.00 
United Future,     78,  8.97,  0.00,  3.85,  1.28, 33.33, 48.72,  3.85,  0.00,  0.00,100.00 
Informal Party Votes,    148,  2.03,  1.35,  4.05,  0.68, 25.68, 17.57,  4.73, 37.84,  6.08,100.00 
Total Party Votes and Percentages,  35427,  2.21,  0.24,  7.56,  0.73, 28.62, 51.02,  7.01,  0.86,  1.74,100.00 
