11 East Coast Bays,Total Party Votes,"HUTTON, Toby (ACT New Zealand)","DYER, Simonne (Conservative Party)","STANSFIELD, Brett (Green Party)","GOLDSMITH, Vivienne (Labour Party)","McCULLY, Murray (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    530, 29.62,  2.26,  1.32,  4.53, 60.00,  1.70,  0.57,100.00 
Alliance,     14,  7.14, 14.29, 28.57, 14.29, 28.57,  7.14,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    156,  3.85,  5.13, 38.46, 12.82, 32.69,  1.92,  5.13,100.00 
Conservative Party,   1254,  0.48, 55.10,  1.67,  4.70, 34.13,  3.03,  0.88,100.00 
Democrats for Social Credit,      9,  0.00, 22.22, 33.33, 22.22, 11.11, 11.11,  0.00,100.00 
Green Party,   2704,  0.18,  1.44, 49.56, 28.00, 18.16,  0.96,  1.70,100.00 
Labour Party,   5769,  0.54,  1.54,  8.58, 78.49,  5.88,  3.38,  1.59,100.00 
Libertarianz,     24, 12.50,  8.33, 25.00,  4.17, 37.50, 12.50,  0.00,100.00 
Mana,     64,  0.00,  7.81, 32.81, 40.63,  7.81,  6.25,  4.69,100.00 
Māori Party,    130,  0.00,  3.08, 27.69, 14.62, 48.46,  3.85,  2.31,100.00 
National Party,  21079,  1.06,  2.50,  2.85,  1.40, 89.34,  2.13,  0.72,100.00 
New Zealand First Party,   1657,  1.63, 12.91, 13.40, 40.56, 24.20,  6.64,  0.66,100.00 
United Future,    145,  4.14, 10.34,  8.28, 12.41, 63.45,  0.69,  0.69,100.00 
Informal Party Votes,    160,  0.63,  2.50,  3.13, 18.75, 36.88, 36.25,  1.88,100.00 
Total Party Votes and Percentages,  33695,  1.39,  4.79,  8.40, 19.15, 62.60,  2.68,  0.99,100.00 
