33 Northcote,Total Party Votes,"KRONFELD, Tim (ACT New Zealand)","BIGGS, Leo (Aotearoa Legalise Cannabis Party)","WEBSTER, Matthew James (Conservative Party)","TAVA, Vernon (Green Party)","GILLON, Paula (Labour Party)","LINTON, Peter (Libertarianz)","COLEMAN, Jonathan (National Party)","JELLEY, Dion Clifford (New Zealand First Party)","DROMGOOL, Steven (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    484, 17.36,  0.21,  1.03,  1.45,  3.10,  1.45, 71.28,  0.62,  0.00,  2.27,  1.24,100.00 
Alliance,     10,  0.00, 10.00, 10.00,  0.00, 20.00,  0.00, 30.00,  0.00,  0.00, 20.00, 10.00,100.00 
Aotearoa Legalise Cannabis Party,    181,  0.55, 50.83,  0.55, 10.50,  7.73,  0.00, 24.86,  0.55,  0.55,  1.10,  2.76,100.00 
Conservative Party,    824,  0.00,  0.12, 36.17,  3.28,  9.22,  0.12, 47.69,  1.09,  0.49,  1.21,  0.61,100.00 
Democrats for Social Credit,     10,  0.00,  0.00, 20.00, 20.00, 20.00,  0.00, 20.00, 10.00,  0.00, 10.00,  0.00,100.00 
Green Party,   3614,  0.17,  1.16,  0.47, 29.94, 43.19,  1.19, 20.86,  0.83,  0.28,  0.80,  1.11,100.00 
Labour Party,   8264,  0.15,  0.69,  0.69,  5.12, 80.19,  0.12,  8.45,  0.98,  0.12,  1.77,  1.73,100.00 
Libertarianz,     37,  5.41,  2.70,  2.70,  2.70,  2.70, 64.86, 13.51,  0.00,  2.70,  0.00,  2.70,100.00 
Mana,    103,  0.00,  3.88,  1.94, 23.30, 42.72,  1.94,  9.71,  6.80,  0.97,  3.88,  4.85,100.00 
Māori Party,    182,  0.00,  1.10,  1.65, 11.54, 23.63,  0.00, 53.30,  0.55,  0.55,  2.20,  5.49,100.00 
National Party,  17263,  0.44,  0.39,  0.79,  1.23,  2.35,  0.08, 92.45,  0.31,  0.19,  0.95,  0.82,100.00 
New Zealand First Party,   1865,  0.16,  0.97,  3.54,  3.27, 36.19,  0.16, 23.75, 29.01,  0.38,  1.66,  0.91,100.00 
United Future,    193,  0.52,  1.04,  0.52,  1.55, 12.95,  0.52, 56.48,  1.04, 22.80,  2.07,  0.52,100.00 
Informal Party Votes,    173,  0.00,  0.00,  1.16,  4.05, 21.97,  0.00, 26.01,  1.73,  1.16, 41.62,  2.31,100.00 
Total Party Votes and Percentages,  33203,  0.56,  0.87,  1.79,  5.69, 28.70,  0.32, 56.95,  2.20,  0.34,  1.45,  1.14,100.00 
