22 Mana,"COLLINS, Michael (ACT New Zealand)","BUCHANAN, Kelly (Alliance)","FREEMANTLE, Jasmine (Anti-Capitalist Alliance)","LEIASAMAIVAO, Tala (Destiny New Zealand)","ANDERSON, Jason (Direct Democracy Party)","HARVEY, Nicola (Green Party)","LELEISIUAO, Fale (Jim Anderton's Progressive)","LABAN, Winnie (Labour Party)","HOSKING, Sonny (Mâori Party)","FINLAYSON, Christopher (National Party)","GUNSTON, Robin (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50, 25.00,  0.00, 37.50,  0.00, 25.00,  0.00,100.00 
ACT New Zealand, 23.91,  0.00,  0.93,  1.55,  0.00,  2.48,  0.31, 13.04,  0.31, 54.66,  1.55,  1.24,  0.00,100.00 
Alliance,  0.00, 34.69,  0.00,  2.04,  2.04,  6.12,  4.08, 38.78,  0.00, 10.20,  2.04,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.20,  0.00,  2.41,  2.41,  2.41, 27.71,  2.41, 32.53,  8.43, 15.66,  0.00,  2.41,  2.41,100.00 
Christian Heritage NZ,  0.00,  0.00,  0.00, 18.18,  0.00,  0.00,  0.00, 31.82,  4.55, 22.73, 22.73,  0.00,  0.00,100.00 
Democrats for Social Credit,  0.00, 14.29,  0.00,  0.00, 28.57,  0.00, 14.29, 14.29,  0.00, 14.29,  0.00, 14.29,  0.00,100.00 
Destiny New Zealand,  0.89,  0.00,  0.00, 71.43,  0.45,  0.89,  2.23, 10.71,  0.89,  4.46,  5.80,  1.34,  0.89,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00, 71.43,  0.00,  0.00, 14.29,  0.00, 14.29,  0.00,  0.00,  0.00,100.00 
Green Party,  0.15,  0.45,  1.00,  0.20,  0.05, 26.82,  0.45, 63.81,  1.00,  3.81,  0.85,  0.50,  0.90,100.00 
Jim Anderton's Progressive,  1.45,  0.29,  0.00,  2.61,  0.29,  1.74, 19.13, 61.74,  0.29,  7.25,  2.90,  2.03,  0.29,100.00 
Labour Party,  0.34,  0.25,  0.13,  0.75,  0.15,  5.25,  0.80, 85.88,  1.21,  1.95,  1.21,  0.77,  1.32,100.00 
Libertarianz, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 44.44,  0.00, 22.22,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.40,  0.00,  0.81,  1.61,  0.00,  5.24,  2.02, 33.47, 41.94,  3.23,  2.42,  1.61,  7.26,100.00 
National Party,  2.04,  0.18,  0.21,  1.11,  0.08,  1.40,  0.21,  5.97,  0.30, 84.48,  3.02,  0.52,  0.49,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 40.00,  0.00, 60.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  2.57,  0.88,  0.48,  3.54,  0.80,  5.14,  3.70, 33.92,  2.89, 34.89,  5.95,  4.18,  1.05,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00, 60.00, 20.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.67,  0.22,  0.15,  3.86,  0.07,  1.04,  0.22, 19.24,  0.37, 30.46, 42.50,  0.82,  0.37,100.00 
Informal Party Votes,  0.85,  0.00,  0.00,  0.85,  0.00,  2.56,  0.00, 23.08,  2.56,  4.27,  1.71, 62.39,  1.71,100.00 
Overall Percentage,  1.23,  0.31,  0.25,  1.61,  0.17,  5.14,  0.90, 52.12,  1.25, 31.18,  3.75,  1.08,  0.99,100.00 
