14 Hamilton West,Total Party Votes,"MUTI, Sara (ACT New Zealand)","McKENNA, Tony (Conservative)","RHODES, Mischele (Democrats for Social Credit)","MORONEY, Sue (Labour Party)","TE AO, Richard (Māori Party)","MACINDOE, Tim (National Party)","GUDGEON, Bill (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    160, 31.25,  0.00,  0.00,  7.50,  0.00, 51.88,  3.13,  5.00,  1.25,100.00 
Aotearoa Legalise Cannabis Party,    171,  1.75,  4.68,  4.68, 39.77,  4.68, 23.98, 14.04,  1.17,  5.26,100.00 
Ban1080,     38,  0.00,  7.89,  2.63, 21.05,  2.63, 36.84, 15.79,  2.63, 10.53,100.00 
Conservative,   1571,  0.32, 32.97,  0.25,  5.60,  0.25, 56.33,  2.42,  0.32,  1.53,100.00 
Democrats for Social Credit,     43,  4.65,  0.00, 72.09,  4.65,  2.33, 11.63,  2.33,  0.00,  2.33,100.00 
Focus New Zealand,      7,  0.00, 14.29,  0.00,  0.00, 28.57, 14.29, 28.57,  0.00, 14.29,100.00 
Green Party,   2765,  0.40,  2.10,  1.59, 67.09,  2.57, 16.64,  5.32,  1.77,  2.53,100.00 
Internet MANA,    242,  0.83,  1.65,  4.96, 57.85,  8.26,  9.50,  7.85,  2.48,  6.61,100.00 
Labour Party,   8649,  0.12,  0.50,  0.14, 88.91,  0.69,  3.08,  2.69,  0.91,  2.96,100.00 
Māori Party,    190,  0.00,  0.00,  0.00, 22.63, 26.32, 34.74,  3.68,  1.58, 11.05,100.00 
National Party,  16072,  0.21,  1.20,  0.11,  3.16,  0.26, 91.78,  1.28,  0.58,  1.42,100.00 
New Zealand First Party,   3644,  0.16,  2.44,  0.38, 30.90,  0.69, 19.57, 42.62,  1.13,  2.11,100.00 
NZ Independent Coalition,     13,  7.69,  7.69,  7.69,  7.69,  0.00, 30.77, 15.38, 15.38,  7.69,100.00 
The Civilian Party,     18,  0.00,  5.56,  5.56,  5.56, 16.67, 22.22, 22.22, 11.11, 11.11,100.00 
United Future,     87,  3.45,  3.45,  1.15, 25.29,  0.00, 49.43, 14.94,  0.00,  2.30,100.00 
Informal Party Votes,    159,  0.00,  0.63,  1.26, 21.38,  1.26, 14.47,  5.66, 51.57,  3.77,100.00 
Total Party Votes and Percentages,  33829,  0.37,  2.73,  0.44, 34.28,  0.85, 51.38,  6.71,  1.10,  2.13,100.00 
