26 Mt Albert,Total Party Votes,"BOYLE, Stephen (ACT New Zealand)","POCHING, Frank (Conservative Party)","CLENDON, David (Green Party)","SHEARER, David (Labour Party)","LEE, Melissa (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    306, 32.35,  2.94,  2.29, 20.26, 38.89,  1.96,  1.31,100.00 
Alliance,     21,  0.00,  4.76, 14.29, 76.19,  0.00,  4.76,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    135,  1.48,  6.67, 31.85, 31.85, 17.04,  0.74, 10.37,100.00 
Conservative Party,    532,  1.32, 52.63,  2.44, 24.25, 16.73,  1.69,  0.94,100.00 
Democrats for Social Credit,      5,  0.00,  0.00, 40.00, 60.00,  0.00,  0.00,  0.00,100.00 
Green Party,   5660,  0.18,  0.30, 26.04, 67.49,  3.39,  0.60,  2.00,100.00 
Labour Party,  12238,  0.16,  0.38,  4.03, 88.84,  0.79,  3.48,  2.32,100.00 
Libertarianz,     29, 10.34, 10.34, 17.24, 20.69, 24.14, 13.79,  3.45,100.00 
Mana,    191,  0.00,  1.57, 24.08, 65.45,  3.14,  0.52,  5.24,100.00 
Māori Party,    172,  2.33,  4.65, 12.21, 52.33, 15.70,  1.74, 11.05,100.00 
National Party,  12102,  2.18,  2.52,  6.14, 19.62, 65.52,  2.41,  1.60,100.00 
New Zealand First Party,   1494,  1.00,  5.76,  9.04, 65.60, 10.04,  6.96,  1.61,100.00 
United Future,    114,  0.88, 12.28, 10.53, 43.86, 27.19,  1.75,  3.51,100.00 
Informal Party Votes,    272,  0.37,  1.47,  1.10, 53.31,  9.19, 31.62,  2.94,100.00 
Total Party Votes and Percentages,  33271,  1.28,  2.36,  9.02, 56.25, 26.13,  2.91,  2.04,100.00 
