69 Waiariki,"VERCOE, Hawea (Destiny New Zealand)","RIRINUI, Mita (Labour Party)","FLAVELL, Te Ururoa (Mâori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 33.33, 33.33,  0.00, 33.33,100.00 
ACT New Zealand, 13.64, 45.45, 40.91,  0.00,  0.00,100.00 
Alliance, 20.00, 20.00, 60.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  6.35, 34.13, 51.59,  4.76,  3.17,100.00 
Christian Heritage NZ, 42.86,  0.00, 42.86, 14.29,  0.00,100.00 
Democrats for Social Credit, 33.33,  0.00, 66.67,  0.00,  0.00,100.00 
Destiny New Zealand, 91.48,  2.27,  2.84,  1.33,  2.08,100.00 
Direct Democracy Party,  0.00,100.00,  0.00,  0.00,  0.00,100.00 
Green Party,  4.16, 38.07, 51.86,  2.84,  3.06,100.00 
Jim Anderton's Progressive,  4.17, 50.00, 37.50,  6.25,  2.08,100.00 
Labour Party,  2.36, 58.43, 35.56,  1.50,  2.16,100.00 
Libertarianz,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  1.62,  6.90, 88.02,  0.95,  2.51,100.00 
National Party, 16.90, 18.86, 41.99, 19.75,  2.49,100.00 
New Zealand Family Rights Protection Party, 30.00, 40.00, 30.00,  0.00,  0.00,100.00 
New Zealand First Party,  8.53, 37.54, 44.56,  8.23,  1.13,100.00 
OneNZ Party,  0.00, 50.00, 25.00,  0.00, 25.00,100.00 
The Republic of New Zealand Party, 25.00, 25.00, 25.00, 25.00,  0.00,100.00 
United Future New Zealand, 46.07, 19.10, 29.21,  5.62,  0.00,100.00 
Informal Party Votes,  1.86, 16.77, 20.19, 56.83,  4.35,100.00 
Overall Percentage,  5.59, 37.33, 51.58,  3.32,  2.19,100.00 
