26 Maungakiekie,Total Party Votes,"COGGAN, Felicity (Communist League)","SIMPSON, Litia (Conservative)","LECKINGER, Richard (Green Party)","FINAU, Sitaleki (Internet MANA)","BEAUMONT, Carol (Labour Party)","LOTU-IIGA, Peseta Sam (National Party)","MOCKRIDGE, Bryan (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    512,  1.37,  2.54,  2.73,  0.98, 21.88, 61.13,  0.39,  8.20,  0.78,100.00 
Aotearoa Legalise Cannabis Party,    113,  0.00,  2.65, 21.24,  5.31, 28.32, 23.01,  0.88,  4.42, 14.16,100.00 
Ban1080,     11,  0.00,  0.00,  0.00,  9.09,  0.00, 27.27, 27.27, 27.27,  9.09,100.00 
Conservative,   1095,  0.27, 31.87,  0.91,  1.28,  9.41, 53.42,  0.55,  0.18,  2.10,100.00 
Democrats for Social Credit,      8,  0.00,  0.00, 12.50, 12.50, 37.50, 25.00, 12.50,  0.00,  0.00,100.00 
Focus New Zealand,      8,  0.00,  0.00, 12.50, 12.50, 37.50, 12.50,  0.00, 12.50, 12.50,100.00 
Green Party,   3270,  0.43,  0.18, 34.59,  0.70, 44.68, 15.72,  0.12,  0.64,  2.94,100.00 
Internet MANA,    377,  2.92,  1.06, 10.61, 29.97, 36.60,  7.69,  0.53,  2.12,  8.49,100.00 
Labour Party,  12199,  0.16,  0.48,  3.02,  1.89, 83.88,  5.89,  0.10,  1.01,  3.57,100.00 
Māori Party,    187,  0.53,  3.21, 12.83,  5.35, 20.86, 46.52,  0.53,  2.67,  7.49,100.00 
National Party,  14394,  0.07,  0.87,  1.79,  0.13,  3.43, 90.61,  0.27,  0.97,  1.86,100.00 
New Zealand First Party,   2283,  0.70,  4.69,  8.98,  1.49, 46.17, 31.76,  1.05,  3.20,  1.97,100.00 
NZ Independent Coalition,     10,  0.00,  0.00, 30.00,  0.00, 20.00, 30.00,  0.00, 10.00, 10.00,100.00 
The Civilian Party,     14, 14.29,  0.00,  7.14,  7.14,  0.00, 64.29,  7.14,  0.00,  0.00,100.00 
United Future,     80,  0.00,  0.00,  2.50,  0.00, 17.50, 55.00, 21.25,  0.00,  3.75,100.00 
Informal Party Votes,    270,  2.96,  0.37,  1.48,  1.48, 35.93, 10.74,  0.37, 42.96,  3.70,100.00 
Total Party Votes and Percentages,  34831,  0.26,  1.93,  5.99,  1.33, 39.57, 46.32,  0.33,  1.55,  2.73,100.00 
