22 Māngere,Total Party Votes,"COSTELLO, Casey (ACT New Zealand)","GAGAMOE, Fa'avae (Conservative Party)","ROSS, Todd (Green Party)","SIO, Sua William (Labour Party)","PAPALI'I, Lauaki James (Mana)","HAUITI, Claudette (National Party)","ILALIO, Taliaoa Oliva (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     77, 31.17,  6.49,  3.90, 20.78,  0.00, 25.97,  3.90,  5.19,  2.60,100.00 
Alliance,     14,  0.00,  0.00, 14.29, 64.29,  0.00,  7.14,  0.00, 14.29,  0.00,100.00 
Aotearoa Legalise Cannabis Party,     95,  1.05,  6.32, 21.05, 38.95,  7.37,  6.32,  4.21,  5.26,  9.47,100.00 
Conservative Party,    402,  1.49, 63.68,  2.74, 17.66,  1.00,  9.95,  1.24,  1.24,  1.00,100.00 
Democrats for Social Credit,      0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,    962,  0.10,  1.04, 40.23, 43.97,  3.12,  5.51,  0.62,  1.98,  3.43,100.00 
Labour Party,  17960,  0.15,  0.64,  1.97, 89.30,  1.09,  0.40,  0.68,  2.80,  2.98,100.00 
Libertarianz,      4, 25.00,  0.00, 50.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Mana,    252,  0.40,  1.59,  4.76, 30.95, 44.05,  0.40,  1.19,  1.98, 14.68,100.00 
Māori Party,    134,  0.00,  5.22, 11.94, 38.81, 11.94, 16.42,  3.73,  2.99,  8.96,100.00 
National Party,   3592,  1.31,  3.62,  3.79, 11.02,  0.64, 74.05,  0.95,  3.26,  1.36,100.00 
New Zealand First Party,   1466,  0.55,  2.80,  5.39, 48.23,  2.39,  7.57, 27.90,  3.41,  1.77,100.00 
United Future,     49,  6.12, 18.37,  6.12, 22.45,  0.00, 42.86,  0.00,  4.08,  0.00,100.00 
Informal Party Votes,    518,  0.39,  0.19,  0.97, 65.25,  0.19,  2.12,  1.16, 27.22,  2.51,100.00 
Total Party Votes and Percentages,  25525,  0.47,  2.29,  4.04, 71.21,  1.65, 11.82,  2.34,  3.35,  2.82,100.00 
