17 Hutt South,Total Party Votes,"SPEIRS, Alex (ACT New Zealand)","COPELAND, Gordon (Conservative Party)","WALKER, Holly (Green Party)","MALLARD, Trevor (Labour Party)","QUINN, Paul (National Party)","EADDY, Rob (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    249, 20.88,  4.82,  4.82, 16.06, 51.41,  0.80,  0.80,  0.40,100.00 
Alliance,     18, 11.11,  5.56, 27.78, 44.44,  0.00,  0.00, 11.11,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    157,  0.64,  1.27, 28.66, 40.13, 21.02,  1.91,  3.18,  3.18,100.00 
Conservative Party,    667,  0.75, 60.42,  3.75, 16.49, 15.44,  0.90,  1.50,  0.75,100.00 
Democrats for Social Credit,     12,  8.33,  8.33, 33.33, 33.33,  8.33,  8.33,  0.00,  0.00,100.00 
Green Party,   3940,  0.10,  0.58, 41.68, 50.25,  5.36,  0.46,  0.69,  0.89,100.00 
Labour Party,  11751,  0.11,  0.70,  6.65, 87.01,  1.05,  0.26,  2.37,  1.86,100.00 
Libertarianz,     23, 13.04,  8.70,  8.70, 21.74, 34.78,  0.00, 13.04,  0.00,100.00 
Mana,    123,  0.00,  0.81, 30.08, 50.41,  8.13,  0.00,  5.69,  4.88,100.00 
Māori Party,    196,  0.00,  4.08, 23.98, 41.84, 19.39,  3.06,  2.04,  5.61,100.00 
National Party,  13510,  0.60,  2.41,  6.36, 13.11, 74.11,  1.10,  1.64,  0.67,100.00 
New Zealand First Party,   1974,  0.51,  7.09, 10.49, 65.20, 10.89,  1.11,  3.80,  0.91,100.00 
United Future,    294,  0.00,  3.40,  6.80, 22.79, 29.25, 35.71,  1.02,  1.02,100.00 
Informal Party Votes,    266,  0.00,  1.50,  2.26, 46.62, 13.16,  0.38, 33.83,  2.26,100.00 
Total Party Votes and Percentages,  33180,  0.52,  3.06, 11.13, 47.70, 33.16,  1.03,  2.19,  1.20,100.00 
