61 Whanganui,Total Party Votes,"DAVIDSON, Alan Daniel (ACT New Zealand)","SMITH, Heather Marion (Democrats for Social Credit)","MILNES, John (Green Party)","McDOUALL, Hamish (Labour Party)","BORROWS, Chester (National Party)","BROUGHAM, Ian (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    345, 10.72,  0.87,  0.87, 10.72, 73.91,  1.16,  0.87,  0.87,100.00 
Alliance,     21,  9.52,  0.00,  9.52, 42.86, 23.81,  0.00, 14.29,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    176,  0.00,  0.57, 33.52, 27.27, 22.73,  6.82,  3.98,  5.11,100.00 
Conservative Party,   1030,  1.36,  1.94,  4.17, 23.20, 60.00,  5.24,  3.30,  0.78,100.00 
Democrats for Social Credit,     47,  0.00, 51.06,  4.26, 17.02, 19.15,  4.26,  2.13,  2.13,100.00 
Green Party,   2855,  0.14,  0.42, 27.46, 50.82, 18.28,  0.42,  1.09,  1.37,100.00 
Labour Party,   8733,  0.16,  0.22,  3.24, 84.86,  6.55,  1.24,  2.29,  1.44,100.00 
Libertarianz,     22,  4.55, 13.64, 13.64, 22.73, 45.45,  0.00,  0.00,  0.00,100.00 
Mana,     75,  0.00,  1.33, 17.33, 52.00, 10.67,  4.00,  6.67,  8.00,100.00 
Māori Party,    225,  0.00,  1.33, 10.67, 32.00, 47.56,  2.67,  1.78,  4.00,100.00 
National Party,  15151,  0.37,  0.11,  0.94,  5.29, 91.00,  0.40,  1.38,  0.50,100.00 
New Zealand First Party,   3035,  0.20,  0.46,  2.41, 47.64, 21.42, 25.44,  1.98,  0.46,100.00 
United Future,    143,  0.00,  2.10,  4.20, 29.37, 59.44,  1.40,  1.40,  2.10,100.00 
Informal Party Votes,    235,  0.43,  0.43,  2.55, 37.87, 31.49,  2.98, 24.26,  0.00,100.00 
Total Party Votes and Percentages,  32093,  0.42,  0.38,  4.50, 36.45, 52.17,  3.25,  1.92,  0.92,100.00 
