12 East Coast,"SADLER, Bill (Destiny New Zealand)","DELAHUNTY, Catherine (Green Party)","MACKEY, Moana Lynore (Labour Party)","HARRÉ, John (Mâori Party)","TOLLEY, Anne (National Party)","GLEN, Joe (New Zealand First Party)","TURNER, Judy (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party, 20.00,  0.00, 20.00,  0.00, 40.00,  0.00, 20.00,  0.00,  0.00,100.00 
ACT New Zealand,  0.47,  3.27,  7.94,  0.47, 76.17,  1.87,  7.48,  1.87,  0.47,100.00 
Alliance,  0.00,  0.00, 70.59,  0.00, 17.65,  0.00, 11.76,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.67, 33.33, 26.67,  3.33, 13.33,  6.67,  5.00,  1.67,  8.33,100.00 
Christian Heritage NZ,  0.00, 10.00, 15.00,  0.00, 25.00, 10.00, 35.00,  5.00,  0.00,100.00 
Democrats for Social Credit,  5.00, 15.00, 55.00,  0.00, 10.00, 10.00,  5.00,  0.00,  0.00,100.00 
Destiny New Zealand, 82.74,  0.00,  5.06,  0.60,  5.65,  0.30,  3.57,  0.00,  2.08,100.00 
Direct Democracy Party,  0.00,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.46, 28.50, 61.55,  1.14,  4.86,  0.30,  1.52,  0.23,  1.44,100.00 
Jim Anderton's Progressive,  0.65,  5.83, 64.72,  0.32, 13.59,  4.85,  6.80,  2.27,  0.97,100.00 
Labour Party,  0.29,  4.26, 85.17,  1.93,  2.72,  1.15,  2.25,  0.72,  1.52,100.00 
Libertarianz,  0.00, 16.67,  0.00,  0.00, 66.67,  0.00, 16.67,  0.00,  0.00,100.00 
Mâori Party,  1.82,  3.44, 25.10, 55.06,  4.66,  3.04,  1.21,  1.01,  4.66,100.00 
National Party,  0.46,  0.74,  2.56,  0.25, 91.76,  1.03,  2.38,  0.36,  0.47,100.00 
New Zealand Family Rights Protection Party,  0.00, 25.00,  0.00, 12.50, 12.50, 12.50, 25.00, 12.50,  0.00,100.00 
New Zealand First Party,  1.48,  1.81, 22.07,  1.14, 33.03, 34.89,  3.24,  1.53,  0.81,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 50.00,  0.00, 50.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  2.07,  0.66, 14.41,  0.44, 32.64,  0.76, 48.03,  0.44,  0.55,100.00 
Informal Party Votes,  1.60,  3.20, 16.00,  0.80,  9.60,  3.20,  2.40, 59.20,  4.00,100.00 
Overall Percentage,  1.43,  3.55, 40.03,  1.89, 43.95,  3.42,  3.81,  0.87,  1.04,100.00 
