09 Dunedin South,Total Party Votes,"NICHOLLS, Colin William (ACT New Zealand)","CRAWFORD, Julian (Aotearoa Legalise Cannabis Party)","KERR, Cindy (Conservative)","VOIGHT, Warren (Democrats for Social Credit)","GALLAGHER, Shane (Green Party)","LEPINE, Andrew (Internet MANA)","CURRAN, Clare (Labour Party)","WALKER, Hamish (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    125, 32.00,  2.40,  1.60,  0.00,  0.80,  1.60, 23.20, 33.60,  0.80,  4.00,100.00 
Aotearoa Legalise Cannabis Party,    171,  0.00, 53.80,  1.17,  0.00, 11.11,  0.58, 23.98,  5.26,  1.17,  2.92,100.00 
Ban1080,     77,  0.00, 19.48,  3.90,  0.00,  7.79,  0.00, 18.18, 44.16,  3.90,  2.60,100.00 
Conservative,   1104,  0.09,  0.18, 37.59,  1.36,  1.54,  0.18, 19.11, 37.50,  1.36,  1.09,100.00 
Democrats for Social Credit,     80,  0.00,  0.00,  1.25, 72.50,  1.25,  0.00, 15.00,  7.50,  1.25,  1.25,100.00 
Focus New Zealand,      7,  0.00,  0.00,  0.00, 14.29,  0.00,  0.00, 57.14, 14.29, 14.29,  0.00,100.00 
Green Party,   4626,  0.02,  1.64,  0.24,  0.35, 32.84,  0.50, 58.28,  4.30,  0.50,  1.34,100.00 
Internet MANA,    307,  0.33,  6.51,  0.33,  2.28, 12.38, 26.06, 42.35,  5.54,  0.33,  3.91,100.00 
Labour Party,  12518,  0.17,  0.89,  0.32,  0.18,  5.10,  0.25, 90.49,  1.17,  0.48,  0.95,100.00 
Māori Party,     95,  0.00,  4.21,  2.11,  1.05, 13.68,  1.05, 49.47, 25.26,  1.05,  2.11,100.00 
National Party,  15003,  0.30,  0.36,  0.83,  0.17,  1.83,  0.07,  9.68, 85.64,  0.48,  0.64,100.00 
New Zealand First Party,   3429,  0.87,  2.04,  3.47,  2.39,  7.79,  0.70, 62.26, 15.37,  4.37,  0.73,100.00 
NZ Independent Coalition,      5,  0.00,  0.00,  0.00,  0.00, 20.00, 20.00, 40.00, 20.00,  0.00,  0.00,100.00 
The Civilian Party,     18,  0.00, 11.11,  5.56,  5.56, 16.67,  0.00, 44.44, 11.11,  0.00,  5.56,100.00 
United Future,     63,  3.17,  1.59,  3.17,  4.76, 14.29,  0.00, 28.57, 44.44,  0.00,  0.00,100.00 
Informal Party Votes,    161,  1.24,  1.24,  2.48,  0.62,  4.35,  0.62, 34.16, 15.53, 36.65,  3.11,100.00 
Total Party Votes and Percentages,  37789,  0.38,  1.20,  1.92,  0.62,  7.44,  0.47, 48.11, 37.91,  1.03,  0.92,100.00 
