46 Rotorua,Total Party Votes,"SMITH, Daryl (Conservative Party)","CHADWICK, Steve (Stephanie) (Labour Party)","ROGERS, Grant (Mana)","McCLAY, Todd (National Party)","TABUTEAU, Fletcher H (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    269,  5.20,  8.92,  0.37, 73.98,  8.55,  2.60,  0.37,100.00 
Alliance,     15,  0.00, 26.67, 13.33, 20.00, 26.67,  6.67,  6.67,100.00 
Aotearoa Legalise Cannabis Party,    159,  7.55, 37.74,  9.43, 22.64, 11.95,  6.92,  3.77,100.00 
Conservative Party,    948, 44.73,  7.91,  0.53, 42.93,  2.11,  1.37,  0.42,100.00 
Democrats for Social Credit,     14, 14.29, 50.00,  0.00,  0.00, 28.57,  7.14,  0.00,100.00 
Green Party,   2700,  3.74, 63.07,  3.33, 20.00,  5.44,  3.11,  1.30,100.00 
Labour Party,   6919,  0.97, 83.13,  1.73,  4.73,  4.05,  3.05,  2.34,100.00 
Libertarianz,     19, 21.05, 15.79,  5.26, 36.84, 10.53, 10.53,  0.00,100.00 
Mana,    327,  0.92, 25.69, 55.05,  3.67,  3.36,  3.36,  7.95,100.00 
Māori Party,    404,  1.49, 32.92,  7.92, 35.64, 10.15,  5.20,  6.68,100.00 
National Party,  16159,  0.93,  4.68,  0.15, 91.05,  1.10,  1.57,  0.53,100.00 
New Zealand First Party,   3326,  2.89, 33.37,  0.99, 16.21, 42.03,  3.46,  1.05,100.00 
United Future,    258,  7.75, 17.05,  1.16, 64.34,  5.43,  3.49,  0.78,100.00 
Informal Party Votes,    307,  1.30, 24.76,  1.30, 30.94,  8.47, 31.27,  1.95,100.00 
Total Party Votes and Percentages,  31824,  2.84, 30.89,  1.60, 54.01,  6.81,  2.62,  1.23,100.00 
