49 Tāmaki,Total Party Votes,"MILNE, Mike (ACT New Zealand)","MOUNTAIN, Danny (Conservative)","SIGGAARD, Dorthe (Green Party)","GIBSON, Lisa (Internet MANA)","WU, Chao-Fu (Labour Party)","O'CONNOR, Simon (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    504, 27.78,  0.40,  0.99,  0.40,  5.16, 61.71,  2.18,  1.39,100.00 
Aotearoa Legalise Cannabis Party,    106,  3.77,  1.89, 34.91,  4.72, 13.21, 30.19,  4.72,  6.60,100.00 
Ban1080,      8, 12.50,  0.00, 37.50,  0.00, 12.50, 25.00,  0.00, 12.50,100.00 
Conservative,   1122,  0.80, 25.49,  1.52,  0.71,  2.23, 67.47,  0.89,  0.89,100.00 
Democrats for Social Credit,     10, 10.00, 10.00, 30.00, 10.00, 10.00, 10.00, 20.00,  0.00,100.00 
Focus New Zealand,     13,  7.69,  7.69, 15.38,  0.00, 15.38, 38.46,  7.69,  7.69,100.00 
Green Party,   3232,  0.37,  0.46, 60.58,  0.96, 19.40, 14.91,  0.93,  2.38,100.00 
Internet MANA,    263,  1.14,  1.14, 22.05, 37.64, 23.95,  8.37,  1.14,  4.56,100.00 
Labour Party,   5431,  0.39,  0.79, 15.41,  1.80, 69.01,  7.66,  2.14,  2.80,100.00 
Māori Party,    175,  1.14,  2.29, 17.14,  4.00, 15.43, 52.00,  3.43,  4.57,100.00 
National Party,  24091,  1.06,  0.68,  1.93,  0.06,  0.73, 94.04,  0.49,  1.02,100.00 
New Zealand First Party,   1619,  1.30,  5.31, 17.42,  2.16, 23.78, 43.36,  4.82,  1.85,100.00 
NZ Independent Coalition,     12,  0.00,  8.33, 25.00,  0.00,  8.33, 41.67,  8.33,  8.33,100.00 
The Civilian Party,     15,  0.00,  6.67,  6.67, 13.33, 20.00, 46.67,  6.67,  0.00,100.00 
United Future,     69,  4.35,  2.90, 15.94,  0.00,  8.70, 59.42,  2.90,  5.80,100.00 
Informal Party Votes,     78,  0.00,  0.00,  0.00,  0.00, 15.38, 14.10, 69.23,  1.28,100.00 
Total Party Votes and Percentages,  36748,  1.29,  1.66, 10.10,  0.82, 13.93, 69.50,  1.19,  1.51,100.00 
