32 North Shore,Total Party Votes,"BOSCAWEN, John (ACT New Zealand)","CLEARY, Louise (Family Party)","WATSON, Pieter (Green Party)","TWYFORD, Phil (Labour Party)","MURPHY, Michael (Libertarianz)","MAPP, Wayne (National Party)","GREGORY, Joe (New Zealand First Party)","COOPER, Stephen (RAM - Residents Action Movement)","LIGHT, Damian (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   2927, 17.15,  1.16,  0.99,  2.43,  0.48, 76.22,  0.17,  0.14,  0.34,  0.27,  0.65,100.00 
Alliance,     24,  0.00,  4.17, 20.83, 37.50,  4.17, 25.00,  4.17,  4.17,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    104,  4.81,  1.92, 25.96, 14.42,  2.88, 39.42,  3.85,  0.00,  0.96,  1.92,  3.85,100.00 
Democrats for Social Credit,      9,  0.00,  0.00, 22.22, 11.11,  0.00, 22.22, 22.22,  0.00,  0.00, 11.11, 11.11,100.00 
Family Party,    176,  1.70, 69.89,  0.57,  3.98,  0.57, 20.45,  0.00,  0.00,  1.14,  1.14,  0.57,100.00 
Green Party,   2590,  0.85,  0.35, 39.96, 46.41,  0.15,  9.77,  0.31,  0.23,  0.27,  0.58,  1.12,100.00 
Jim Anderton's Progressive,    165,  3.03,  4.85, 10.91, 61.21,  0.00, 11.52,  1.82,  1.82,  2.42,  1.21,  1.21,100.00 
Kiwi Party,     83,  3.61, 19.28,  3.61, 15.66,  0.00, 44.58,  1.20,  1.20,  4.82,  4.82,  1.20,100.00 
Labour Party,   8381,  0.78,  0.64,  8.61, 81.48,  0.13,  5.02,  1.21,  0.06,  0.18,  0.63,  1.25,100.00 
Libertarianz,     33,  9.09,  0.00,  0.00, 12.12, 57.58, 15.15,  0.00,  0.00,  0.00,  3.03,  3.03,100.00 
Maori Party,    234,  0.85,  3.42, 15.81, 34.19,  0.00, 29.06,  4.27,  0.85,  2.99,  2.99,  5.56,100.00 
National Party,  22738,  3.92,  0.95,  1.93,  1.72,  0.14, 88.88,  0.34,  0.04,  0.44,  0.41,  1.22,100.00 
New Zealand First Party,   1149,  0.78,  1.48,  2.35, 38.03,  0.35, 21.06, 33.42,  0.17,  0.61,  0.96,  0.78,100.00 
New Zealand Pacific Party,     13,  0.00, 15.38,  0.00, 23.08,  0.00, 23.08, 30.77,  0.00,  7.69,  0.00,  0.00,100.00 
RAM - Residents Action Movement,     13,  0.00,  0.00,  0.00, 23.08,  0.00, 15.38,  0.00, 61.54,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    139,  3.60,  0.72, 19.42, 22.30,  1.44, 41.01,  2.16,  2.16,  1.44,  1.44,  4.32,100.00 
The Republic of New Zealand Party,      4,  0.00,  0.00, 25.00, 25.00, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    370,  2.70,  5.14,  3.78, 10.54,  0.00, 47.03,  1.89,  0.27, 27.03,  0.54,  1.08,100.00 
Workers Party,     10,  0.00, 30.00, 10.00, 20.00,  0.00,  0.00,  0.00, 10.00,  0.00, 20.00, 10.00,100.00 
Informal Party Votes,    102,  1.96,  1.96,  0.98,  9.80,  1.96, 15.69,  0.98,  0.98,  0.00, 61.76,  3.92,100.00 
Total Party Votes and Percentages,  39264,  3.89,  1.31,  6.08, 23.56,  0.24, 60.68,  1.56,  0.12,  0.66,  0.68,  1.21,100.00 
