02 Auckland Central,"SIMPSON, Helen (ACT New Zealand)","VINCENT, Maureen (Destiny New Zealand)","RUPA, Dilip (Direct Democracy Party)","TÁNCZOS, Nándor (Green Party)","TOWNSEND, Petronella (Jim Anderton's Progressive)","TIZARD, Judith (Labour Party)","YATES, Bronwyn (Mâori Party)","WONG, Pansy (National Party)","BARAGWANATH, Susan (New Zealand First Party)","CANDY, Alan Field (NZ Republicans Party)","TAYLOR, Steve (United Future New Zealand)","FORDE, Thomas (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00,  0.00,  0.00, 40.00, 20.00,  0.00, 20.00,  0.00,  0.00,  0.00, 20.00,  0.00,100.00 
ACT New Zealand, 17.17,  0.61,  0.46,  4.86,  0.15,  4.86,  0.15, 66.57,  1.37,  0.46,  0.61,  0.76,  0.46,  1.52,100.00 
Alliance,  5.26,  0.00,  0.00, 26.32, 15.79, 42.11,  0.00,  0.00,  0.00,  0.00,  5.26,  0.00,  5.26,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.64,  1.64,  3.28, 60.66,  1.64, 24.59,  0.00,  1.64,  1.64,  0.00,  0.00,  1.64,  0.00,  1.64,100.00 
Christian Heritage NZ,  0.00, 24.14,  0.00,  3.45,  0.00, 10.34,  0.00, 27.59,  6.90,  0.00, 20.69,  0.00,  3.45,  3.45,100.00 
Democrats for Social Credit,  0.00,  0.00,  0.00, 20.00, 10.00, 30.00,  0.00, 10.00, 10.00,  0.00, 10.00,  0.00, 10.00,  0.00,100.00 
Destiny New Zealand,  0.00, 68.75,  0.00,  0.00,  2.50, 11.25,  1.25,  6.25,  0.00,  0.00,  3.75,  2.50,  0.00,  3.75,100.00 
Direct Democracy Party,  0.00,  0.00, 80.00,  6.67,  0.00,  0.00,  0.00, 13.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.19,  0.00,  0.17, 37.34,  0.40, 54.51,  0.96,  3.48,  0.61,  0.06,  0.21,  0.42,  0.36,  1.30,100.00 
Jim Anderton's Progressive,  0.67,  1.01,  0.34,  9.76, 21.21, 53.20,  2.02,  4.71,  4.38,  0.00,  0.34,  0.34,  0.34,  1.68,100.00 
Labour Party,  0.45,  0.14,  0.15, 17.30,  0.85, 72.74,  0.93,  3.19,  1.00,  0.07,  0.50,  0.16,  0.56,  1.97,100.00 
Libertarianz, 12.00,  0.00,  4.00, 12.00,  0.00, 20.00,  4.00, 32.00,  4.00,  0.00,  8.00,  0.00,  4.00,  0.00,100.00 
Mâori Party,  0.00,  0.00,  0.45, 16.14,  1.35, 20.63, 41.70,  9.87,  2.69,  0.00,  0.45,  0.00,  0.45,  6.28,100.00 
National Party,  2.70,  0.37,  0.10,  3.58,  0.17,  4.05,  0.13, 83.14,  2.28,  0.05,  1.23,  0.26,  0.62,  1.33,100.00 
New Zealand Family Rights Protection Party,  7.69,  7.69,  0.00,  0.00,  0.00, 46.15,  0.00, 15.38,  7.69,  0.00, 15.38,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  1.34,  0.29,  0.19,  5.36,  0.86, 18.97,  0.57, 23.28, 44.83,  0.48,  0.86,  0.29,  1.25,  1.44,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00, 60.00,  0.00, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  1.05,  1.47,  0.42,  3.56,  0.42, 16.14,  0.84, 32.08,  2.31,  0.42, 38.78,  0.00,  0.42,  2.10,100.00 
Informal Party Votes,  0.00,  0.00,  0.00,  1.74,  0.00, 16.52,  0.87,  3.48,  2.61,  0.87,  0.87,  0.00, 69.57,  3.48,100.00 
Overall Percentage,  1.52,  0.41,  0.19, 14.44,  0.72, 42.81,  0.89, 32.28,  2.70,  0.09,  1.25,  0.25,  0.80,  1.67,100.00 
