69 Te Tai Tokerau,Total Party Votes,"HARAWIRA, Hone (Internet MANA)","DAVIS, Kelvin (Labour Party)","PAENGA, Te Hira (Māori Party)","DEARLOVE, Clinton (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     37, 27.03, 48.65, 10.81,  5.41,  2.70,  5.41,100.00 
Aotearoa Legalise Cannabis Party,    254, 40.94, 29.13, 17.72,  3.94,  2.36,  5.91,100.00 
Ban1080,     19, 26.32, 42.11, 10.53, 10.53,  0.00, 10.53,100.00 
Conservative,    154, 16.88, 55.19, 11.04, 11.69,  3.90,  1.30,100.00 
Democrats for Social Credit,     11, 45.45, 45.45,  9.09,  0.00,  0.00,  0.00,100.00 
Focus New Zealand,     45, 31.11, 51.11,  8.89,  8.89,  0.00,  0.00,100.00 
Green Party,   2278, 41.83, 40.21, 11.50,  2.37,  0.66,  3.42,100.00 
Internet MANA,   4246, 90.39,  2.99,  1.32,  0.92,  0.49,  3.89,100.00 
Labour Party,   8034, 26.44, 63.97,  4.57,  0.62,  0.75,  3.66,100.00 
Māori Party,   2300, 29.17, 28.30, 38.22,  0.35,  1.00,  2.96,100.00 
National Party,   1938, 10.84, 45.10, 28.90,  7.48,  5.01,  2.68,100.00 
New Zealand First Party,   3296, 27.76, 51.88, 11.26,  3.40,  3.03,  2.67,100.00 
NZ Independent Coalition,     16, 25.00, 37.50,  0.00, 25.00,  0.00, 12.50,100.00 
The Civilian Party,      5, 20.00, 20.00, 40.00, 20.00,  0.00,  0.00,100.00 
United Future,     18, 16.67, 61.11, 16.67,  5.56,  0.00,  0.00,100.00 
Informal Party Votes,    257, 33.46, 24.90,  2.33,  1.56, 34.63,  3.11,100.00 
Total Party Votes and Percentages,  22908, 39.15, 42.40, 11.26,  1.98,  1.82,  3.39,100.00 
