57 Waitakere,Total Party Votes,"LYE, Jeff (Aotearoa Legalise Cannabis Party)","MOUNTAIN, Danny (Conservative Party)","TOLLESTRUP, Steve (Green Party)","SEPULONI, Carmel (Labour Party)","OSBORNE, Peter (Libertarianz)","BRADFORD, Sue (Mana)","BENNETT, Paula (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    259,  1.93,  3.86,  4.63, 10.04,  1.93,  0.00, 74.52,  2.70,  0.39,100.00 
Alliance,      9,  0.00, 11.11,  0.00, 22.22,  0.00, 22.22, 33.33, 11.11,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    166, 57.83,  0.60,  7.83, 15.06,  0.60,  1.81, 11.45,  1.20,  3.61,100.00 
Conservative Party,    753,  0.53, 41.57,  1.99, 11.82,  0.00,  0.27, 41.04,  1.73,  1.06,100.00 
Democrats for Social Credit,      4,  0.00,  0.00, 50.00, 25.00,  0.00,  0.00, 25.00,  0.00,  0.00,100.00 
Green Party,   3308,  1.33,  0.24, 29.63, 50.79,  0.15,  2.51, 12.97,  0.57,  1.81,100.00 
Labour Party,  11579,  0.65,  0.29,  3.65, 85.57,  0.03,  0.88,  3.78,  2.16,  2.99,100.00 
Libertarianz,     33,  6.06,  0.00,  9.09, 18.18, 60.61,  0.00,  3.03,  3.03,  0.00,100.00 
Mana,    174,  0.57,  1.15,  2.30, 47.13,  0.00, 30.46,  2.30,  1.72, 14.37,100.00 
Māori Party,    168,  1.79,  0.60,  7.74, 23.81,  0.00,  3.57, 50.00,  2.38, 10.12,100.00 
National Party,  12533,  0.49,  0.89,  1.92,  2.94,  0.06,  0.17, 90.91,  1.23,  1.37,100.00 
New Zealand First Party,   2011,  1.89,  5.92,  6.86, 52.86,  0.60,  2.29, 21.88,  5.97,  1.74,100.00 
United Future,    125,  0.80,  6.40,  7.20, 12.80,  0.80,  2.40, 68.00,  0.80,  0.80,100.00 
Informal Party Votes,    300,  0.00,  0.67,  0.67, 49.67,  0.00,  0.33, 21.67, 25.67,  1.33,100.00 
Total Party Votes and Percentages,  31422,  1.05,  1.94,  5.90, 42.82,  0.18,  1.02, 42.85,  2.07,  2.15,100.00 
