40 Papakura,Total Party Votes,"THOMPSON, John (ACT New Zealand)","STITT, Kevin (Conservative)","CONROY, Caroline (Green Party)","FOWLER, Roger (Internet MANA)","MIKA, Jerome (Labour Party)","KENDALL, Ann (Māori Party)","COLLINS, Judith (National Party)","CATCHPOLE, Brent (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    218, 38.99,  3.67,  0.46,  0.46,  2.75,  0.92, 47.25,  0.92,  2.29,  2.29,100.00 
Aotearoa Legalise Cannabis Party,    124,  0.81,  3.23, 28.23,  3.23, 32.26,  3.23, 12.10,  9.68,  2.42,  4.84,100.00 
Ban1080,     23,  8.70,  0.00, 17.39,  0.00, 30.43,  4.35, 26.09,  8.70,  0.00,  4.35,100.00 
Conservative,   1431,  0.84, 43.54,  1.47,  0.07,  9.57,  0.07, 36.48,  6.22,  0.63,  1.12,100.00 
Democrats for Social Credit,      9, 22.22,  0.00, 22.22,  0.00,  0.00,  0.00, 11.11, 11.11, 22.22, 11.11,100.00 
Focus New Zealand,      5,  0.00, 40.00,  0.00,  0.00, 60.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   1801,  0.56,  0.67, 43.42,  0.67, 41.75,  0.67,  6.16,  3.28,  0.78,  2.05,100.00 
Internet MANA,    275,  1.09,  1.82, 10.18, 28.73, 34.91,  1.45,  4.36,  8.00,  0.00,  9.45,100.00 
Labour Party,   8967,  0.21,  0.43,  3.32,  0.43, 83.48,  0.41,  1.92,  3.31,  1.09,  5.38,100.00 
Māori Party,    172,  0.00,  0.00,  5.81,  4.65, 23.26, 29.07, 18.02,  4.65,  2.33, 12.21,100.00 
National Party,  17733,  1.43,  3.06,  2.73,  0.08,  5.14,  0.52, 79.52,  4.82,  1.35,  1.35,100.00 
New Zealand First Party,   3737,  0.35,  1.28,  3.10,  0.35, 24.89,  0.88, 12.18, 53.71,  1.15,  2.11,100.00 
NZ Independent Coalition,      4,  0.00,  0.00,  0.00,  0.00, 75.00,  0.00, 25.00,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     20,  5.00, 10.00, 10.00,  5.00, 30.00,  0.00, 20.00, 15.00,  5.00,  0.00,100.00 
United Future,     60, 11.67,  1.67,  3.33,  1.67, 21.67,  3.33, 41.67, 13.33,  0.00,  1.67,100.00 
Informal Party Votes,    186,  1.61,  3.23,  2.69,  0.54, 20.97,  0.54, 15.05,  4.84, 43.01,  7.53,100.00 
Total Party Votes and Percentages,  34765,  1.19,  3.72,  5.15,  0.50, 30.11,  0.69, 44.84,  9.71,  1.44,  2.67,100.00 
