52 Tauranga,"DENZ, Frances (ACT New Zealand)","RANSOM, Katherine (Democrats for Social Credit)","JENSEN, Neils (Destiny New Zealand)","PETERSON, Noel (Green Party)","LALL, Karandeep Singh (Jim Anderton's Progressive)","BARRETT, Sally (Labour Party)","WATKINS, Russell (Libertarianz)","CLARKSON, Bob (National Party)","PETERS, Winston (New Zealand First Party)","BALDOCK, Larry (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00, 25.00, 25.00,  0.00,  0.00,  0.00,100.00 
ACT New Zealand,  4.26,  0.00,  0.91,  0.91,  0.00,  2.13,  0.30, 69.00, 20.06,  1.52,  0.61,  0.30,100.00 
Alliance,  0.00,  0.00,  0.00,  0.00,  0.00, 28.57,  0.00, 14.29, 42.86,  0.00, 14.29,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  0.00,  0.00,  0.00, 18.46,  0.00,  3.08,  3.08, 35.38, 30.77,  0.00,  0.00,  9.23,100.00 
Christian Heritage NZ,  0.00,  4.55,  4.55,  4.55,  0.00,  9.09,  0.00, 22.73, 27.27, 22.73,  0.00,  4.55,100.00 
Democrats for Social Credit,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,  0.00, 12.50, 12.50,  4.17,  4.17,  0.00,100.00 
Destiny New Zealand,  0.00,  0.00, 64.75,  0.00,  0.00,  0.00,  0.34,  5.08, 20.34,  7.12,  0.68,  1.69,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33, 66.67,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.08,  0.31,  0.08, 21.67,  0.23, 22.37,  0.78, 21.04, 28.76,  2.26,  0.62,  1.79,100.00 
Jim Anderton's Progressive,  0.00,  0.00,  1.06,  0.35, 18.44,  9.57,  0.35, 37.94, 28.37,  3.19,  0.71,  0.00,100.00 
Labour Party,  0.07,  0.05,  0.14,  4.27,  0.74, 31.75,  0.14, 18.71, 40.38,  1.77,  0.54,  1.45,100.00 
Libertarianz,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 68.18,  9.09, 18.18,  0.00,  0.00,  4.55,100.00 
Mâori Party,  0.00,  0.00,  1.61,  6.45,  3.23, 20.97,  0.00, 19.35, 37.10,  0.81,  0.00, 10.48,100.00 
National Party,  0.22,  0.01,  0.21,  0.38,  0.10,  0.50,  0.05, 68.31, 26.19,  2.80,  0.35,  0.89,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.02,  0.00,  0.25,  0.19,  0.06,  0.62,  0.02,  4.91, 92.52,  0.45,  0.19,  0.78,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 42.86, 42.86,  0.00,  0.00, 14.29,100.00 
The Republic of New Zealand Party,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.00,  0.06,  0.43,  0.31,  0.12,  1.83,  0.06, 43.03, 18.40, 34.78,  0.43,  0.55,100.00 
Informal Party Votes,  0.66,  0.00,  0.66,  0.66,  1.32,  9.87,  0.00,  9.21, 24.34,  1.32, 51.97,  0.00,100.00 
Overall Percentage,  0.17,  0.08,  0.74,  2.32,  0.45, 10.95,  0.16, 40.90, 38.91,  3.60,  0.62,  1.10,100.00 
