59 Wellington Central,Total Party Votes,"WHITTINGTON, Stephen (ACT New Zealand)","BUCHANAN, Kelly (Alliance)","APPLEBY, Michael (Aotearoa Legalise Cannabis Party)","STIPKOVITS, Paul (Conservative Party)","SHAW, James (Green Party)","ROBERTSON, Grant (Labour Party)","CUTTING, Reagan (Libertarianz)","FOSTER-BELL, Paul (National Party)","BOOMERT, Laurence (New Economics Party)","CRAVEN, Ben (New Zealand First Party)","RICKERBY, Gynn (Pirate Party of New Zealand)","KARENA, Puhi (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    462, 26.84,  0.00,  1.30,  0.22,  2.16, 10.39,  1.73, 52.81,  0.00,  0.43,  1.52,  0.22,  0.87,  1.52,100.00 
Alliance,     18,  0.00, 22.22,  0.00,  0.00, 11.11, 50.00,  5.56,  0.00,  0.00,  0.00,  5.56,  0.00,  0.00,  5.56,100.00 
Aotearoa Legalise Cannabis Party,    161,  0.62,  0.00, 45.96,  0.00,  9.94, 21.12,  1.24,  3.11,  2.48,  0.00,  6.21,  1.24,  1.24,  6.83,100.00 
Conservative Party,    270,  2.96,  0.37,  0.74, 41.11,  4.44, 15.56,  0.00, 25.56,  0.37,  0.00,  0.74,  0.37,  2.22,  5.56,100.00 
Democrats for Social Credit,     15,  6.67,  6.67,  6.67,  0.00,  0.00, 26.67,  0.00,  0.00, 33.33,  0.00, 13.33,  6.67,  0.00,  0.00,100.00 
Green Party,  10903,  0.25,  0.11,  1.16,  0.15, 28.92, 61.97,  0.04,  3.46,  0.13,  0.17,  0.94,  0.06,  0.37,  2.27,100.00 
Labour Party,  10459,  0.14,  0.08,  0.61,  0.12,  8.46, 85.81,  0.05,  0.88,  0.03,  0.33,  0.27,  0.04,  0.98,  2.20,100.00 
Libertarianz,     40,  7.50,  0.00,  2.50,  0.00,  5.00,  5.00, 50.00, 10.00,  2.50,  5.00,  5.00,  0.00,  2.50,  5.00,100.00 
Mana,    250,  0.00,  4.80,  3.60,  0.00, 18.80, 60.00,  0.00,  1.20,  1.20,  1.20,  0.80,  0.00,  4.00,  4.40,100.00 
Māori Party,    278,  0.72,  1.08,  1.80,  1.08, 16.55, 44.24,  0.36, 25.54,  0.00,  0.00,  1.80,  0.36,  2.16,  4.32,100.00 
National Party,  15128,  1.42,  0.05,  0.58,  0.48,  6.18, 12.70,  0.13, 74.93,  0.07,  0.22,  0.63,  0.06,  1.07,  1.45,100.00 
New Zealand First Party,   1132,  0.62,  0.18,  2.03,  1.33,  7.51, 56.71,  0.71, 10.25,  0.00, 15.99,  1.15,  0.27,  1.06,  2.21,100.00 
United Future,    256,  2.34,  0.00,  1.17,  0.78, 10.94, 30.86,  0.00, 45.31,  0.39,  0.78,  2.34,  0.78,  3.52,  0.78,100.00 
Informal Party Votes,    153,  1.96,  0.65,  0.65,  1.96,  2.61, 32.03,  0.00, 17.65,  0.65,  1.96,  0.00,  0.65, 36.60,  2.61,100.00 
Total Party Votes and Percentages,  39525,  1.04,  0.13,  1.02,  0.60, 13.22, 47.66,  0.17, 31.52,  0.11,  0.71,  0.70,  0.08,  1.04,  1.99,100.00 
