67 Te Tai Hauauru,Total Party Votes,"MASON, Errol (Labour Party)","TURIA, Tariana (Maori Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     79, 20.25, 67.09, 11.39,  1.27,100.00 
Alliance,      3, 66.67, 33.33,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    242, 25.21, 66.94,  2.89,  4.96,100.00 
Democrats for Social Credit,      5,  0.00,100.00,  0.00,  0.00,100.00 
Family Party,     95, 16.84, 66.32, 13.68,  3.16,100.00 
Green Party,    697, 26.11, 69.15,  2.58,  2.15,100.00 
Jim Anderton's Progressive,     36, 30.56, 61.11,  8.33,  0.00,100.00 
Kiwi Party,     22, 22.73, 68.18,  9.09,  0.00,100.00 
Labour Party,  10005, 45.10, 50.89,  1.86,  2.15,100.00 
Libertarianz,      1,  0.00,100.00,  0.00,  0.00,100.00 
Maori Party,   6076,  3.36, 93.55,  0.74,  2.35,100.00 
National Party,   1298, 11.25, 76.12, 11.09,  1.54,100.00 
New Zealand First Party,   1029, 32.94, 62.29,  3.40,  1.36,100.00 
New Zealand Pacific Party,      9, 44.44, 55.56,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      0,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    120, 35.83, 60.83,  0.00,  3.33,100.00 
The Republic of New Zealand Party,      4, 50.00, 50.00,  0.00,  0.00,100.00 
United Future,     24, 29.17, 66.67,  4.17,  0.00,100.00 
Workers Party,      6, 33.33, 50.00,  0.00, 16.67,100.00 
Informal Party Votes,    359, 10.31, 27.30, 59.33,  3.06,100.00 
Total Party Votes and Percentages,  20110, 27.79, 66.66,  3.36,  2.18,100.00 
