45 Rongotai,Total Party Votes,"LATIMER, Joel (ACT New Zealand)","WELSH, Bruce (Conservative Party)","NORMAN, Russel (Green Party)","KING, Annette (Labour Party)","RICKUS, Aroha (Māori Party)","FINLAYSON, Christopher (National Party)","PIERSON, Brent (New Zealand First Party)","RICHARDS, Don (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    238, 22.27,  2.94,  7.98, 13.45,  0.42, 47.48,  0.00,  2.52,  2.10,  0.84,100.00 
Alliance,     23,  0.00,  4.35, 26.09, 17.39,  8.70,  8.70,  4.35, 13.04, 13.04,  4.35,100.00 
Aotearoa Legalise Cannabis Party,    167,  2.99,  0.60, 33.53, 35.33,  1.80, 13.17,  1.20,  2.40,  4.19,  4.79,100.00 
Conservative Party,    409,  0.49, 49.63, 10.02, 19.07,  0.00, 15.16,  0.73,  0.73,  3.18,  0.98,100.00 
Democrats for Social Credit,     11,  0.00,  9.09,  9.09, 27.27,  0.00, 18.18,  0.00, 27.27,  0.00,  9.09,100.00 
Green Party,   8920,  0.13,  0.19, 47.99, 46.23,  0.28,  2.66,  0.11,  0.44,  0.29,  1.67,100.00 
Labour Party,  12606,  0.13,  0.24, 10.73, 83.62,  0.21,  0.83,  0.36,  0.22,  1.82,  1.83,100.00 
Libertarianz,     31, 16.13,  6.45, 19.35,  9.68,  0.00, 16.13,  9.68,  6.45,  6.45,  9.68,100.00 
Mana,    198,  0.51,  0.00, 43.94, 38.38,  4.55,  1.01,  1.52,  2.53,  3.03,  4.55,100.00 
Māori Party,    251,  0.40,  0.00, 19.12, 36.25, 20.32, 18.33,  0.00,  1.59,  0.40,  3.59,100.00 
National Party,  12168,  0.53,  1.10,  9.43, 16.95,  0.32, 68.42,  0.42,  0.31,  1.38,  1.13,100.00 
New Zealand First Party,   1640,  0.18,  1.65,  9.76, 55.49,  0.43,  6.71, 21.46,  0.73,  2.44,  1.16,100.00 
United Future,    217,  1.84,  3.23, 20.74, 34.56,  1.84, 30.88,  2.30,  2.30,  1.84,  0.46,100.00 
Informal Party Votes,    302,  0.00,  1.66,  3.64, 40.07,  0.33, 11.59,  3.97,  0.00, 37.09,  1.66,100.00 
Total Party Votes and Percentages,  37181,  0.45,  1.17, 19.53, 48.89,  0.45, 24.56,  1.31,  0.41,  1.66,  1.56,100.00 
