37 Otago,"ECKHOFF, Gerry (ACT New Zealand)","PROSSER, Richard Ivor (Democrats for Social Credit)","GUY, Simon (Direct Democracy Party)","PEARCE, Jane (Green Party)","SILCOCK, Barry John (Jim Anderton's Progressive)","PARKER, David (Labour Party)","DEAN, Jacqui (National Party)","TELFORD, Gerald (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  9.09,  0.00,  0.00, 18.18, 27.27, 18.18,  9.09,  9.09,  9.09,100.00 
ACT New Zealand, 22.39,  0.00,  0.34,  0.68,  0.17,  8.21, 66.84,  0.68,  0.17,  0.51,100.00 
Alliance,  0.00,  0.00,  3.85, 15.38,  3.85, 50.00, 19.23,  0.00,  7.69,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.89,  1.89,  0.94, 33.96,  0.94, 24.53, 26.42,  4.72,  0.00,  4.72,100.00 
Christian Heritage NZ,  0.00,  5.26,  2.63,  5.26,  0.00, 26.32, 44.74, 13.16,  0.00,  2.63,100.00 
Democrats for Social Credit,  1.89, 69.81,  0.00,  1.89,  1.89, 13.21, 11.32,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand,  6.82,  0.00,  1.52,  0.76,  3.03, 12.12, 49.24, 21.97,  4.55,  0.00,100.00 
Direct Democracy Party,  0.00,  0.00, 52.78,  2.78,  0.00, 22.22, 19.44,  0.00,  0.00,  2.78,100.00 
Green Party,  0.71,  0.36,  0.31, 20.26,  0.22, 69.35,  6.57,  0.58,  0.27,  1.38,100.00 
Jim Anderton's Progressive,  2.31,  1.29,  1.03,  1.29, 21.08, 57.07, 11.83,  2.57,  1.29,  0.26,100.00 
Labour Party,  0.90,  0.23,  0.08,  5.92,  0.72, 84.51,  5.22,  0.72,  0.73,  0.97,100.00 
Libertarianz, 30.00, 10.00,  0.00,  0.00,  0.00, 20.00, 40.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  9.52,  0.00,  3.17,  9.52,  0.00, 50.79, 12.70,  3.17,  4.76,  6.35,100.00 
National Party,  2.80,  0.09,  0.10,  0.86,  0.10,  2.84, 91.02,  1.19,  0.45,  0.54,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00, 14.29,  0.00,  0.00, 28.57, 42.86,  0.00,  0.00, 14.29,100.00 
New Zealand First Party,  4.55,  1.78,  1.28,  5.19,  3.20, 32.69, 43.64,  2.91,  3.62,  1.14,100.00 
OneNZ Party, 25.00,  0.00,  0.00,  0.00, 25.00,  0.00, 50.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party, 16.67,  0.00,  0.00,  0.00,  0.00, 33.33, 33.33,  0.00, 16.67,  0.00,100.00 
United Future New Zealand,  1.92,  0.51,  0.00,  0.51,  0.64, 21.20, 48.15, 26.44,  0.38,  0.26,100.00 
Informal Party Votes,  0.96,  0.96,  0.96,  0.00,  0.00, 11.54, 10.58,  3.85, 69.23,  1.92,100.00 
Overall Percentage,  2.30,  0.36,  0.24,  4.32,  0.73, 41.63, 47.04,  1.68,  0.90,  0.80,100.00 
