49 Taranaki-King Country,Total Party Votes,"IZARD, William (ACT New Zealand)","PARKER, Iain (Democrats for Social Credit)","HAMILL, Rob (Green Party)","van de WEERT, Renée (Labour Party)","ARDERN, Shane (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1634, 13.59,  0.67,  1.47,  1.22, 82.31,  0.49,  0.24,100.00 
Alliance,     28,  0.00,  7.14,  7.14, 50.00, 32.14,  3.57,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    114,  7.89,  3.51, 37.72, 17.54, 28.07,  4.39,  0.88,100.00 
Democrats for Social Credit,     82,  2.44, 64.63,  3.66,  4.88, 23.17,  1.22,  0.00,100.00 
Family Party,     96,  9.38,  6.25,  8.33,  9.38, 61.46,  3.13,  2.08,100.00 
Green Party,   1607,  0.56,  0.68, 62.48, 18.92, 15.06,  0.81,  1.49,100.00 
Jim Anderton's Progressive,    192,  3.65,  7.29, 15.63, 39.58, 30.21,  3.13,  0.52,100.00 
Kiwi Party,    151,  6.62,  6.62,  2.65,  9.27, 69.54,  5.30,  0.00,100.00 
Labour Party,   6844,  1.02,  0.66, 14.45, 71.87,  9.29,  1.21,  1.49,100.00 
Libertarianz,     16, 43.75,  6.25, 18.75,  6.25, 18.75,  6.25,  0.00,100.00 
Maori Party,    327,  2.75,  2.45, 25.99, 29.97, 31.19,  3.06,  4.59,100.00 
National Party,  19232,  1.80,  0.19,  1.65,  0.37, 95.04,  0.41,  0.53,100.00 
New Zealand First Party,   1451,  2.76,  5.72,  8.06, 40.18, 38.80,  3.93,  0.55,100.00 
New Zealand Pacific Party,      9,  0.00, 11.11, 11.11, 55.56, 22.22,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      1,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    244,  3.28,  3.28, 10.25, 17.21, 61.48,  2.87,  1.64,100.00 
The Republic of New Zealand Party,      3, 33.33,  0.00,  0.00,  0.00, 33.33,  0.00, 33.33,100.00 
United Future,    258,  5.04,  2.71,  5.43,  8.14, 75.58,  2.33,  0.78,100.00 
Workers Party,     13, 23.08, 15.38, 15.38, 15.38, 30.77,  0.00,  0.00,100.00 
Informal Party Votes,    153,  0.65,  0.00,  1.96,  7.84, 19.61, 67.32,  2.61,100.00 
Total Party Votes and Percentages,  32455,  2.36,  0.93,  8.24, 19.15, 67.27,  1.20,  0.83,100.00 
