05 Christchurch East,Total Party Votes,"WILKINSON, Robert (Aotearoa Legalise Cannabis Party)","BAKER, Leighton (Conservative)","MATHERS, Mojo (Green Party)","WILLIAMS, Poto (Labour Party)","MATAKI, Tania (Māori Party)","HAYES, Jo (National Party)","PARK, Sam (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    107,  0.00,  8.41, 10.28, 38.32,  0.00, 39.25,  0.93,  0.93,  1.87,100.00 
Aotearoa Legalise Cannabis Party,    186, 62.37,  0.00,  7.53, 16.67,  1.08,  5.91,  0.00,  0.00,  6.45,100.00 
Ban1080,     38, 13.16, 13.16, 26.32, 34.21,  2.63,  7.89,  0.00,  0.00,  2.63,100.00 
Conservative,   1058,  0.47, 53.59,  2.65, 16.82,  0.19, 23.72,  0.76,  0.57,  1.23,100.00 
Democrats for Social Credit,     20,  5.00, 20.00, 35.00, 10.00,  0.00, 15.00,  0.00, 15.00,  0.00,100.00 
Focus New Zealand,      1,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,   4113,  1.19,  0.63, 39.65, 52.88,  0.39,  2.82,  0.15,  0.49,  1.80,100.00 
Internet MANA,    286, 14.34,  2.10, 25.17, 46.50,  1.75,  4.55,  0.35,  1.05,  4.20,100.00 
Labour Party,  10450,  0.76,  0.63,  5.75, 88.67,  0.28,  0.66,  0.25,  0.77,  2.24,100.00 
Māori Party,    129,  1.55,  6.20,  7.75, 34.88, 29.46,  8.53,  0.00,  2.33,  9.30,100.00 
National Party,  12928,  0.61,  2.96,  3.58, 11.29,  0.37, 78.68,  0.36,  1.01,  1.14,100.00 
New Zealand First Party,   3069,  2.38,  6.09, 11.21, 58.85,  1.56, 13.78,  1.43,  3.00,  1.69,100.00 
NZ Independent Coalition,     11,  9.09, 18.18,  0.00, 54.55,  0.00,  9.09,  0.00,  9.09,  0.00,100.00 
The Civilian Party,     19, 10.53, 15.79, 26.32, 26.32,  5.26,  5.26,  5.26,  0.00,  5.26,100.00 
United Future,     74,  1.35,  6.76,  8.11, 18.92,  0.00, 29.73, 32.43,  0.00,  2.70,100.00 
Informal Party Votes,    141,  2.13,  0.00,  2.84, 32.62,  0.00,  7.09,  0.71, 49.65,  4.96,100.00 
Total Party Votes and Percentages,  32630,  1.40,  3.90,  9.83, 46.65,  0.58, 34.16,  0.49,  1.25,  1.74,100.00 
