16 Hunua,Total Party Votes,"CUMMINGS, Ian (ACT New Zealand)","CAMPBELL, Kevin (Conservative Party)","MITCHELL, Huia (Democrats for Social Credit)","WATTS, Charmaine A (Green Party)","HILLS, Richard (Labour Party)","PHILLIPS, Thomas Tuatu Toihau (Māori Party)","HUTCHISON, Paul (National Party)","NABBS, Doug (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    515, 21.55,  2.52,  0.78,  0.97,  2.52,  0.19, 67.96,  0.97,  0.97,  1.55,100.00 
Alliance,      4,  0.00, 25.00, 25.00, 25.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    154,  5.19,  3.25,  0.65, 30.52, 14.29,  1.30, 35.06,  3.25,  2.60,  3.90,100.00 
Conservative Party,   1320,  2.88, 55.76,  0.38,  1.52,  4.17,  0.08, 30.76,  2.42,  1.44,  0.61,100.00 
Democrats for Social Credit,     30,  0.00, 10.00, 60.00,  0.00,  3.33,  0.00, 23.33,  3.33,  0.00,  0.00,100.00 
Green Party,   2438,  0.12,  1.07,  0.16, 53.61, 21.82,  0.45, 19.28,  0.66,  1.27,  1.56,100.00 
Labour Party,   5705,  0.33,  0.91,  0.07,  8.96, 74.04,  0.93,  5.96,  2.37,  3.00,  3.44,100.00 
Libertarianz,     25, 12.00, 12.00,  0.00, 12.00,  8.00,  0.00, 48.00,  4.00,  4.00,  0.00,100.00 
Mana,     75,  0.00,  1.33,  0.00, 25.33, 32.00, 13.33, 10.67,  4.00,  8.00,  5.33,100.00 
Māori Party,    188,  0.53,  1.06,  1.06,  9.57,  7.98, 33.51, 37.77,  1.06,  2.66,  4.79,100.00 
National Party,  22161,  1.09,  1.87,  0.09,  2.11,  1.00,  0.15, 90.79,  0.41,  1.48,  1.00,100.00 
New Zealand First Party,   2626,  0.50,  4.00,  0.72,  6.13, 23.08,  0.57, 20.22, 41.43,  2.51,  0.84,100.00 
United Future,    170,  1.18,  4.12,  1.18,  7.06,  8.24,  1.18, 67.65,  5.88,  2.94,  0.59,100.00 
Informal Party Votes,    204,  0.49,  1.96,  0.00,  1.96, 17.16,  0.98, 38.73,  7.84, 28.43,  2.45,100.00 
Total Party Votes and Percentages,  35615,  1.24,  3.86,  0.23,  7.23, 16.19,  0.54, 63.35,  3.94,  1.96,  1.45,100.00 
