13 Hamilton East,Total Party Votes,"SMITH, Ron (ACT New Zealand)","DAY, Katrina (Conservative)","McKENZIE, Carolyn (Democrats for Social Credit)","SERVIAN, Mark (Green Party)","CALVER, Ray (Internet MANA)","ALLEN, Cliff (Labour Party)","BENNETT, David (National Party)","TAURIMA, Richard (New Zealand First Party)","TODD, Quentin (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    250, 26.00,  0.00,  0.40,  1.60,  0.40,  7.60, 60.00,  0.40,  0.00,  2.00,  1.60,100.00 
Aotearoa Legalise Cannabis Party,    110,  0.91,  0.00,  0.91, 29.09,  6.36, 20.00, 23.64,  5.45,  0.91,  5.45,  7.27,100.00 
Ban1080,     28,  0.00,  7.14,  0.00, 10.71,  3.57, 21.43, 39.29, 10.71,  0.00,  0.00,  7.14,100.00 
Conservative,   1672,  0.12, 39.71,  0.36,  1.32,  0.30,  4.72, 49.16,  1.97,  0.18,  0.72,  1.44,100.00 
Democrats for Social Credit,     29,  0.00,  0.00, 72.41,  0.00,  0.00,  6.90, 13.79,  6.90,  0.00,  0.00,  0.00,100.00 
Focus New Zealand,      5,  0.00,  0.00,  0.00, 20.00,  0.00, 20.00, 20.00,  0.00, 20.00,  0.00, 20.00,100.00 
Green Party,   3833,  0.21,  0.50,  0.39, 38.09,  0.81, 41.14, 14.06,  0.83,  0.16,  0.47,  3.34,100.00 
Internet MANA,    348,  0.00,  0.00,  0.57, 20.40, 30.46, 28.74, 10.06,  2.87,  0.00,  0.57,  6.32,100.00 
Labour Party,   8264,  0.10,  0.50,  0.11,  6.22,  0.33, 78.17,  8.40,  1.79,  0.07,  0.81,  3.51,100.00 
Māori Party,    222,  0.00,  2.70,  0.45, 11.26,  2.25, 22.52, 42.79,  7.66,  0.45,  2.70,  7.21,100.00 
National Party,  17395,  0.25,  0.99,  0.03,  1.17,  0.11,  1.24, 93.50,  0.60,  0.14,  0.45,  1.52,100.00 
New Zealand First Party,   2481,  0.40,  3.31,  0.24,  3.35,  0.48, 24.43, 26.24, 37.69,  0.28,  0.93,  2.66,100.00 
NZ Independent Coalition,      3, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00, 66.67,  0.00,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     23,  0.00,  8.70,  8.70, 21.74,  8.70, 13.04, 30.43,  4.35,  0.00,  4.35,  0.00,100.00 
United Future,    104,  0.96,  2.88,  0.00,  2.88,  0.96, 15.38, 49.04,  0.96, 22.12,  0.00,  4.81,100.00 
Informal Party Votes,    167,  0.00,  0.00,  0.00,  2.40,  0.00, 22.16, 24.55,  1.20,  0.00, 45.51,  4.19,100.00 
Total Party Votes and Percentages,  34934,  0.40,  2.84,  0.20,  6.96,  0.62, 26.32, 55.51,  3.71,  0.21,  0.84,  2.40,100.00 
