61 West Coast-Tasman,Total Party Votes,"SALTER, Pete (Ban1080)","HOLLEY, Claire Margaret (Conservative)","HAGUE, Kevin (Green Party)","O'CONNOR, Damien Peter (Labour Party)","BOOMERT, Laurence (Money Free Party)","PUGH, Maureen (National Party)","WILKINSON, Steven (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,     94,  8.51,  3.19,  3.19, 44.68,  1.06, 31.91,  4.26,  3.19,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    210, 30.95,  0.95, 11.43, 32.86,  2.38,  9.52,  5.71,  2.38,  3.81,100.00 
Ban1080,    942, 63.80,  1.38,  2.12, 20.28,  0.53,  8.28,  1.49,  0.85,  1.27,100.00 
Conservative,   1837,  4.35, 31.30,  1.52, 37.72,  0.11, 23.24,  0.33,  1.03,  0.38,100.00 
Democrats for Social Credit,     25, 24.00, 16.00,  0.00, 32.00,  0.00,  4.00,  0.00, 20.00,  4.00,100.00 
Focus New Zealand,      7, 14.29, 28.57,  0.00, 28.57,  0.00, 14.29,  0.00,  0.00, 14.29,100.00 
Green Party,   4658,  4.04,  0.26, 31.32, 59.32,  0.36,  1.91,  1.14,  0.36,  1.29,100.00 
Internet MANA,    271, 15.50,  1.48, 21.03, 52.40,  3.32,  1.11,  4.06,  0.37,  0.74,100.00 
Labour Party,   8438,  2.84,  0.63,  4.66, 88.93,  0.02,  1.21,  0.31,  0.56,  0.84,100.00 
Māori Party,    102,  2.94,  1.96, 13.73, 48.04,  0.98, 22.55,  3.92,  1.96,  3.92,100.00 
National Party,  16058,  4.25,  1.56,  1.44, 19.83,  0.02, 71.40,  0.26,  0.82,  0.41,100.00 
New Zealand First Party,   3123, 12.01,  3.36,  4.51, 63.69,  0.13, 11.53,  1.41,  2.53,  0.83,100.00 
NZ Independent Coalition,     14,  7.14, 21.43,  0.00, 21.43,  0.00, 14.29, 35.71,  0.00,  0.00,100.00 
The Civilian Party,     11,  0.00,  0.00,  9.09, 63.64,  0.00,  9.09, 18.18,  0.00,  0.00,100.00 
United Future,     71, 15.49,  2.82,  7.04, 36.62,  0.00, 33.80,  2.82,  0.00,  1.41,100.00 
Informal Party Votes,    192,  7.29,  0.00,  4.69, 38.54,  0.00, 14.06,  1.56, 29.17,  4.69,100.00 
Total Party Votes and Percentages,  36053,  6.43,  2.86,  6.62, 46.45,  0.14, 35.10,  0.63,  1.03,  0.74,100.00 
