15 Hamilton East,"MALLETT, Garry B (ACT New Zealand)","PHILLIPS, Jared (Anti-Capitalist Alliance)","HOWARD, Daniel (Green Party)","BANKS, Peter (Jim Anderton's Progressive)","YATES, Dianne Fae (Labour Party)","THOMSEN, Robin John (Libertarianz)","BIASINY-TULE, Potaua (Mâori Party)","BENNETT, David (National Party)","WOOLERTON, Doug (New Zealand First Party)","ARCHER, Adam (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 16.67,  0.00, 50.00,  0.00,  0.00, 16.67,  0.00,  8.33,  8.33,  0.00,100.00 
ACT New Zealand, 17.62,  0.82,  0.82,  0.00,  8.20,  0.55,  2.87, 65.71,  1.23,  0.41,  1.23,  0.55,100.00 
Alliance,  5.88, 11.76,  5.88,  5.88, 52.94,  0.00,  0.00,  0.00,  5.88,  0.00,  0.00, 11.76,100.00 
Aotearoa Legalise Cannabis Party,  5.36,  3.57, 19.64,  1.79, 39.29,  0.00,  5.36, 16.07,  1.79,  1.79,  1.79,  3.57,100.00 
Christian Heritage NZ,  2.70,  0.00,  2.70,  5.41, 21.62,  0.00,  2.70, 48.65,  2.70, 10.81,  2.70,  0.00,100.00 
Democrats for Social Credit,  6.67,  0.00, 20.00,  6.67, 13.33,  0.00,  6.67,  6.67, 26.67,  6.67,  6.67,  0.00,100.00 
Destiny New Zealand,  1.83,  1.83,  0.00,  2.75, 10.09,  0.00,  3.67, 53.21,  9.17, 11.93,  4.59,  0.92,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00, 20.00, 20.00,  0.00, 20.00, 40.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.19,  0.62, 22.28,  0.34, 63.75,  0.05,  1.15,  8.26,  0.58,  0.48,  0.62,  1.68,100.00 
Jim Anderton's Progressive,  0.86,  0.00,  1.73, 21.61, 45.24,  0.29,  1.15, 21.04,  4.32,  1.15,  1.15,  1.44,100.00 
Labour Party,  0.66,  0.14,  5.08,  0.76, 82.02,  0.07,  0.96,  5.27,  1.71,  0.55,  0.76,  2.01,100.00 
Libertarianz,  0.00,  0.00,  4.76,  4.76, 19.05, 28.57,  0.00, 33.33,  0.00,  4.76,  4.76,  0.00,100.00 
Mâori Party,  0.43,  0.00,  2.99,  0.43, 28.63,  0.00, 37.18, 13.68,  1.71,  0.43,  2.56, 11.97,100.00 
National Party,  1.60,  0.04,  0.68,  0.18,  2.19,  0.04,  0.07, 91.84,  1.33,  0.98,  0.32,  0.74,100.00 
New Zealand Family Rights Protection Party, 33.33, 33.33,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.73,  0.05,  1.41,  0.50, 16.89,  0.09,  0.54, 37.87, 39.55,  0.45,  0.91,  1.00,100.00 
OneNZ Party, 12.50, 12.50, 12.50,  0.00, 12.50,  0.00,  0.00, 12.50, 37.50,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party, 50.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,100.00 
United Future New Zealand,  0.54,  0.23,  0.08,  0.39, 14.31,  0.16,  0.62, 60.50,  1.79, 19.83,  0.78,  0.78,100.00 
Informal Party Votes,  1.77,  1.77,  3.54,  1.77, 21.24,  0.88,  1.77, 10.62,  0.00,  0.88, 55.75,  0.00,100.00 
Overall Percentage,  1.41,  0.16,  3.53,  0.64, 36.01,  0.09,  0.82, 50.04,  3.74,  1.45,  0.77,  1.33,100.00 
