05 Christchurch East,Total Party Votes,"BRITNELL, Michael (Aotearoa Legalise Cannabis Party)","BAKER, Leighton (Conservative Party)","MATHERS, Mojo (Green Party)","DALZIEL, Lianne (Labour Party)","GILMORE, Aaron (National Party)","MILLER, Johnny (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    101,  0.99,  0.99,  0.99, 22.77, 65.35,  0.99,  3.96,  3.96,100.00 
Alliance,     28,  0.00,  7.14,  7.14, 67.86, 10.71,  3.57,  3.57,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    145, 49.66,  1.38,  1.38, 36.55,  5.52,  0.69,  3.45,  1.38,100.00 
Conservative Party,    617,  0.16, 44.08,  1.46, 30.63, 19.61,  0.65,  2.59,  0.81,100.00 
Democrats for Social Credit,     22,  0.00, 22.73,  4.55, 54.55,  9.09,  4.55,  4.55,  0.00,100.00 
Green Party,   3359,  0.98,  0.36, 22.36, 66.42,  7.50,  0.18,  0.48,  1.73,100.00 
Labour Party,   9100,  0.64,  0.30,  2.65, 91.13,  1.53,  0.10,  1.63,  2.03,100.00 
Libertarianz,     17,  0.00,  0.00, 17.65, 41.18, 29.41,  5.88,  5.88,  0.00,100.00 
Mana,     63,  3.17,  1.59, 20.63, 60.32,  1.59,  0.00,  7.94,  4.76,100.00 
Māori Party,     84,  2.38,  1.19,  8.33, 53.57, 22.62,  2.38,  2.38,  7.14,100.00 
National Party,  13252,  0.45,  0.85,  1.85, 23.71, 70.32,  0.21,  1.40,  1.21,100.00 
New Zealand First Party,   1801,  1.22,  4.28,  3.66, 73.46, 11.55,  0.67,  4.00,  1.17,100.00 
United Future,    160,  0.63,  1.88,  0.63, 37.50, 29.38, 26.25,  1.88,  1.88,100.00 
Informal Party Votes,    228,  0.88,  2.63,  2.19, 54.39, 15.35,  0.00, 21.93,  2.63,100.00 
Total Party Votes and Percentages,  28977,  0.88,  1.80,  4.65, 53.69, 35.29,  0.37,  1.76,  1.56,100.00 
