33 North Shore,Total Party Votes,"KEARNEY, Nick (ACT New Zealand)","PERKIN, Melissa (Conservative)","LEITCH, Tim (Democrats for Social Credit)","STANSFIELD, Brett (Green Party)","SZABÓ, Claire (Labour Party)","BARRY, Maggie (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    545, 34.31,  4.77,  0.37,  1.10,  3.30, 51.93,  1.65,  2.57,100.00 
Aotearoa Legalise Cannabis Party,    103,  3.88,  3.88,  0.00, 32.04, 19.42, 32.04,  5.83,  2.91,100.00 
Ban1080,     13,  0.00, 15.38,  0.00, 46.15, 30.77,  7.69,  0.00,  0.00,100.00 
Conservative,   1673,  0.54, 56.13,  0.06,  1.14,  2.87, 37.72,  0.66,  0.90,100.00 
Democrats for Social Credit,     34,  2.94,  5.88, 64.71,  2.94,  8.82, 14.71,  0.00,  0.00,100.00 
Focus New Zealand,      2,  0.00,  0.00,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,100.00 
Green Party,   4118,  0.17,  0.95,  0.10, 47.69, 36.23, 12.60,  0.49,  1.77,100.00 
Internet MANA,    250,  2.40,  3.20,  2.00, 37.20, 40.40, 10.80,  0.80,  3.20,100.00 
Labour Party,   5473,  0.51,  1.68,  0.24, 10.76, 79.17,  4.86,  1.22,  1.55,100.00 
Māori Party,    174,  1.15,  3.45,  1.72, 18.39, 20.69, 48.28,  2.30,  4.02,100.00 
National Party,  23762,  1.25,  3.39,  0.05,  2.61,  1.97, 89.06,  0.57,  1.09,100.00 
New Zealand First Party,   2246,  1.38, 11.71,  1.47, 15.14, 32.24, 31.43,  4.81,  1.83,100.00 
NZ Independent Coalition,      4,  0.00, 25.00,  0.00,  0.00, 50.00, 25.00,  0.00,  0.00,100.00 
The Civilian Party,     12,  0.00,  8.33,  0.00, 41.67, 25.00, 16.67,  0.00,  8.33,100.00 
United Future,     98,  3.06,  8.16,  1.02, 17.35, 12.24, 54.08,  2.04,  2.04,100.00 
Informal Party Votes,     78,  0.00,  2.56,  0.00,  1.28, 17.95, 12.82, 61.54,  3.85,100.00 
Total Party Votes and Percentages,  38585,  1.49,  5.70,  0.25,  9.66, 18.87, 61.64,  1.07,  1.32,100.00 
