64 Tainui,"SOLOMON, Hayden (Destiny New Zealand)","MAHUTA, Nanaia (Labour Party)","GREENSILL, Angeline (Mâori Party)","POPE, Andrew (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 20.00, 60.00, 20.00,  0.00,100.00 
ACT New Zealand, 12.24, 20.41, 44.90, 18.37,  4.08,  0.00,100.00 
Alliance, 16.67, 66.67, 16.67,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  2.78, 36.81, 40.97,  6.94,  9.03,  3.47,100.00 
Christian Heritage NZ, 45.45, 18.18,  9.09,  0.00, 18.18,  9.09,100.00 
Democrats for Social Credit,  0.00, 40.00, 20.00,  0.00, 20.00, 20.00,100.00 
Destiny New Zealand, 86.05,  5.10,  6.46,  0.00,  0.68,  1.70,100.00 
Direct Democracy Party,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.77, 52.70, 40.73,  2.51,  1.93,  1.35,100.00 
Jim Anderton's Progressive,  5.66, 58.49, 24.53,  5.66,  3.77,  1.89,100.00 
Labour Party,  0.97, 71.65, 23.38,  0.34,  1.33,  2.33,100.00 
Libertarianz,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.66, 18.21, 77.08,  0.04,  1.16,  2.85,100.00 
National Party, 10.72, 17.83, 37.98, 21.45, 10.72,  1.29,100.00 
New Zealand Family Rights Protection Party, 11.11, 33.33, 44.44, 11.11,  0.00,  0.00,100.00 
New Zealand First Party,  6.12, 37.30, 42.64,  5.17,  7.49,  1.29,100.00 
OneNZ Party,  0.00, 50.00, 50.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00, 25.00, 25.00, 50.00,  0.00,100.00 
United Future New Zealand, 28.77, 23.29, 34.25,  5.48,  8.22,  0.00,100.00 
Informal Party Votes,  0.58, 21.57,  8.16,  0.29, 66.18,  3.21,100.00 
Overall Percentage,  3.09, 49.68, 39.92,  1.62,  3.40,  2.29,100.00 
