14 Hamilton West,Total Party Votes,"GREGORY, Pat (Conservative Party)","PORT, Les (Democrats for Social Credit)","MORONEY, Sue (Labour Party)","MACINDOE, Tim (National Party)","GUDGEON, Bill (New Zealand First Party)","CURTIS, Robert (Independent)","WIKIRIWHI, Tim (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    292,  2.05,  0.68, 10.62, 78.08,  2.74,  1.03,  1.37,  1.71,  1.71,100.00 
Alliance,     10, 10.00,  0.00, 40.00, 10.00, 20.00,  0.00, 10.00, 10.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    175,  4.00,  3.43, 41.14, 28.57,  5.71,  9.14,  2.86,  1.14,  4.00,100.00 
Conservative Party,   1022, 40.70,  0.20, 11.06, 44.81,  0.98,  0.29,  0.20,  1.08,  0.68,100.00 
Democrats for Social Credit,     38,  2.63, 44.74, 21.05, 15.79,  5.26,  5.26,  0.00,  2.63,  2.63,100.00 
Green Party,   2834,  1.94,  0.78, 62.21, 24.74,  2.96,  2.08,  0.92,  2.65,  1.73,100.00 
Labour Party,   9342,  0.48,  0.04, 89.36,  3.66,  1.59,  0.29,  0.18,  2.18,  2.21,100.00 
Libertarianz,     31,  0.00,  0.00, 16.13, 29.03,  3.23,  6.45, 29.03,  9.68,  6.45,100.00 
Mana,    115,  0.00,  0.87, 43.48,  9.57, 10.43,  0.00, 13.91,  6.09, 15.65,100.00 
Māori Party,    188,  3.19,  0.53, 34.04, 42.02,  6.38,  0.53,  2.66,  2.13,  8.51,100.00 
National Party,  15300,  0.84,  0.09,  3.44, 92.03,  0.84,  0.19,  0.12,  1.44,  1.01,100.00 
New Zealand First Party,   2475,  2.26,  0.20, 41.90, 17.01, 34.59,  0.44,  0.32,  1.74,  1.54,100.00 
United Future,    227,  8.37,  0.44, 21.15, 60.35,  3.52,  2.20,  1.32,  2.20,  0.44,100.00 
Informal Party Votes,    286,  1.40,  0.00, 34.62, 22.03,  3.85,  0.35,  0.35, 34.62,  2.80,100.00 
Total Party Votes and Percentages,  32335,  2.30,  0.23, 37.63, 51.30,  4.00,  0.49,  0.36,  2.10,  1.58,100.00 
