41 Port Hills,Total Party Votes,"RUSSELL, Geoff (ACT New Zealand)","BROSNAN, Chris (Conservative)","GRIBBEN, Gary J (Democrats for Social Credit)","SAGE, Eugenie (Green Party)","DYSON, Ruth (Labour Party)","KORAKO, Nuk (National Party)","O'ROURKE, Denis (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    175, 23.43,  1.14,  0.00,  3.43, 14.29, 50.86,  3.43,  2.29,  1.14,100.00 
Aotearoa Legalise Cannabis Party,    120,  2.50,  1.67,  0.83, 30.00, 35.00, 15.00,  5.83,  0.83,  8.33,100.00 
Ban1080,     33,  0.00,  9.09,  0.00, 27.27, 18.18, 33.33,  3.03,  0.00,  9.09,100.00 
Conservative,   1241,  0.24, 29.57,  0.32,  2.10, 24.50, 40.05,  1.93,  0.48,  0.81,100.00 
Democrats for Social Credit,     41,  0.00,  0.00, 46.34,  9.76, 26.83, 12.20,  0.00,  4.88,  0.00,100.00 
Focus New Zealand,      4,  0.00, 25.00,  0.00,  0.00, 50.00,  0.00, 25.00,  0.00,  0.00,100.00 
Green Party,   6812,  0.06,  0.10,  0.06, 25.53, 68.00,  4.33,  0.35,  0.22,  1.35,100.00 
Internet MANA,    298,  0.34,  2.01,  1.01, 25.84, 52.35,  8.05,  3.69,  1.01,  5.70,100.00 
Labour Party,   9514,  0.06,  0.25,  0.04,  5.07, 90.12,  1.20,  1.21,  0.27,  1.78,100.00 
Māori Party,    160,  0.00,  1.88,  0.63,  9.38, 46.25, 30.00,  1.88,  3.13,  6.88,100.00 
National Party,  18719,  0.38,  0.92,  0.04,  2.84, 15.69, 77.41,  0.97,  0.59,  1.15,100.00 
New Zealand First Party,   2641,  0.49,  1.33,  0.27,  4.39, 50.44, 11.55, 28.40,  1.17,  1.97,100.00 
NZ Independent Coalition,      1,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Civilian Party,     26,  0.00,  3.85,  0.00, 23.08, 50.00, 11.54,  7.69,  0.00,  3.85,100.00 
United Future,     80,  2.50,  2.50,  0.00,  7.50, 46.25, 35.00,  6.25,  0.00,  0.00,100.00 
Informal Party Votes,    105,  0.95,  0.00,  0.95,  5.71, 14.29,  4.76,  0.95, 69.52,  2.86,100.00 
Total Party Votes and Percentages,  39970,  0.36,  1.57,  0.13,  7.65, 45.44, 39.86,  2.83,  0.69,  1.47,100.00 
